,Fp,Fp_sampled,GW_cutvalue,betas,counter,cutvalue_best,cutvalue_most_sampled,gammas,graph,graph_name,minimizer_method,most_common_bistring,n_Fp_evals,n_edges,n_nodes,n_samples,p,qubit_order,seed,time
10,2.9999999999998974,2.939453125,4.0,[0.39269903],"{(0, 0, 1, 1): 78, (1, 0, 1, 0): 249, (0, 1, 1, 0): 89, (0, 1, 0, 1): 269, (1, 1, 0, 0): 77, (1, 1, 1, 1): 23, (1, 0, 1, 1): 14, (1, 0, 0, 1): 86, (0, 1, 0, 0): 9, (0, 1, 1, 1): 17, (1, 0, 0, 0): 27, (1, 1, 0, 1): 27, (0, 0, 0, 0): 14, (1, 1, 1, 0): 14, (0, 0, 1, 0): 19, (0, 0, 0, 1): 12}",4.0,4.0,[0.78539836],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(0, 1, 0, 1)",7.0,4.0,4.0,1024.0,1.0,"(0, 1, 2, 3)",1.0,0.7188801765441895
11,3.9999999999998077,4.0,4.0,[0.55925897 0.4522783 ],"{(1, 0, 1, 0): 512, (0, 1, 0, 1): 512}",4.0,4.0,[0.90455664 1.11851786],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",9.0,4.0,4.0,1024.0,2.0,"(0, 1, 2, 3)",1.0,2.7317466735839844
12,3.999999999993027,4.0,4.0,[0.55611337 0.49643339 0.118701  ],"{(1, 0, 1, 0): 500, (0, 1, 0, 1): 524}",4.0,4.0,[0.73424753 1.07056097 1.14767565],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(0, 1, 0, 1)",9.0,4.0,4.0,1024.0,3.0,"(0, 1, 2, 3)",1.0,6.303861379623413
13,3.9999999999997695,4.0,4.0,[0.63204173 0.54170155 0.28946919 0.17408207],"{(0, 1, 0, 1): 504, (1, 0, 1, 0): 520}",4.0,4.0,[0.69879076 0.9879492  1.10982556 1.18122787],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",9.0,4.0,4.0,1024.0,4.0,"(0, 1, 2, 3)",1.0,12.252066612243652
14,3.9999999999995355,4.0,4.0,[0.62153835 0.60625837 0.3474317  0.3284642  0.14489611],"{(0, 1, 0, 1): 502, (1, 0, 1, 0): 522}",4.0,4.0,[0.66420382 0.91493478 1.05999062 1.10149407 1.15765043],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",9.0,4.0,4.0,1024.0,5.0,"(0, 1, 2, 3)",1.0,19.669872760772705
15,3.999999999995499,4.0,4.0,[0.65456487 0.56843067 0.39131376 0.39939906 0.2696429  0.15102344],"{(1, 0, 1, 0): 535, (0, 1, 0, 1): 489}",4.0,4.0,[0.67181869 0.88328525 0.98273262 1.03783006 1.09556937 1.17550442],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",10.0,4.0,4.0,1024.0,6.0,"(0, 1, 2, 3)",1.0,30.611483573913574
16,3.99999999999994,4.0,4.0,"[0.63255508 0.5996372  0.41289308 0.45216951 0.35510036 0.27834279
 0.10233171]","{(1, 0, 1, 0): 521, (0, 1, 0, 1): 503}",4.0,4.0,"[0.64185032 0.85396873 0.96761227 0.99853014 1.06213608 1.12542276
 1.1861654 ]","{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",10.0,4.0,4.0,1024.0,7.0,"(0, 1, 2, 3)",1.0,45.973207235336304
17,3.9999999999999263,4.0,4.0,"[0.64153356 0.60387493 0.44395978 0.45409159 0.41162187 0.35424179
 0.22559539 0.12105022]","{(1, 0, 1, 0): 512, (0, 1, 0, 1): 512}",4.0,4.0,"[0.63041491 0.8345077  0.93784568 0.99321166 1.01941002 1.07703478
 1.13613981 1.18958569]","{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",7.0,4.0,4.0,1024.0,8.0,"(0, 1, 2, 3)",1.0,64.0561728477478
18,3.9999999999999387,4.0,4.0,"[0.62843505 0.61794054 0.45004963 0.4787757  0.421604   0.40888507
 0.29637796 0.22944912 0.10620905]","{(1, 0, 1, 0): 526, (0, 1, 0, 1): 498}",4.0,4.0,"[0.61187997 0.81987083 0.91529503 0.97052922 1.00528706 1.03077169
 1.10091153 1.13931199 1.19175472]","{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",9.0,4.0,4.0,1024.0,9.0,"(0, 1, 2, 3)",1.0,90.70096349716187
19,3.999999999998849,4.0,4.0,"[0.63040672 0.61037286 0.47807721 0.48976893 0.44683441 0.42192902
 0.34606767 0.29765856 0.2169883  0.11481666]","{(1, 0, 1, 0): 530, (0, 1, 0, 1): 494}",4.0,4.0,"[0.60439987 0.8097408  0.89553213 0.95534862 0.98016917 1.01580018
 1.05888447 1.11267982 1.14242513 1.19056409]","{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 0: {'weight': 1}}}",2-regular_4-nodal,BFGS,"(1, 0, 1, 0)",7.0,4.0,4.0,1024.0,10.0,"(0, 1, 2, 3)",1.0,118.20045590400696
