,Cmax,Fp,Fp_sampled,betas,brute_time,counter,cutvalue_best,cutvalue_most_sampled,gammas,graph,graph_name,minimizer_method,most_common_bistring,n_Fp_evals,n_edges,n_nodes,n_samples,p,qubit_order,seed,time
10,3.0,2.9948690269202665,2.9970703125,[0.47081042 0.27217875 0.14122081],0.0,"{(0, 1, 0, 1): 134, (1, 0, 1, 0): 160, (1, 0, 0, 1): 139, (0, 1, 0, 0): 205, (1, 0, 1, 1): 218, (0, 1, 1, 0): 165, (1, 1, 0, 1): 1, (1, 1, 0, 0): 1, (1, 1, 1, 0): 1}",3.0,3.0,[0.55081821 1.15008179 1.26194998],"{0: {1: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}, 3: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {1: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 1)",11.0,4.0,4.0,1024.0,3.0,"(0, 1, 2, 3)",1.0,5.560070276260376
11,3.0,2.9999999999824394,3.0,[0.53614479 0.33235917 0.18225536 0.06440439],0.0,"{(0, 1, 1, 0): 143, (0, 1, 0, 0): 221, (1, 0, 1, 1): 204, (1, 0, 1, 0): 166, (1, 0, 0, 1): 142, (0, 1, 0, 1): 148}",3.0,3.0,[0.48334633 1.08186739 1.26555554 1.5167263 ],"{0: {1: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}, 3: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {1: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 0)",24.0,4.0,4.0,1024.0,4.0,"(0, 1, 2, 3)",1.0,15.240284442901611
12,3.0,2.9999999999121965,3.0,[0.53127399 0.3531042  0.21956758 0.09743194 0.0277422 ],0.0,"{(1, 0, 1, 1): 210, (0, 1, 0, 1): 148, (0, 1, 0, 0): 238, (1, 0, 1, 0): 139, (1, 0, 0, 1): 139, (0, 1, 1, 0): 150}",3.0,3.0,[0.39774857 0.9393445  1.18131975 1.34432064 1.50802757],"{0: {1: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}, 3: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {1: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 0)",15.0,4.0,4.0,1024.0,5.0,"(0, 1, 2, 3)",1.0,25.240172147750854
13,3.0,2.999999999984372,3.0,[0.55969986 0.37908714 0.26715012 0.15576133 0.07131813 0.03427031],0.0,"{(0, 1, 0, 0): 197, (1, 0, 1, 1): 236, (0, 1, 0, 1): 144, (1, 0, 0, 1): 147, (1, 0, 1, 0): 166, (0, 1, 1, 0): 134}",3.0,3.0,[0.34983695 0.85271134 1.07307781 1.25801795 1.37616247 1.51525664],"{0: {1: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}, 3: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {1: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 1)",14.0,4.0,4.0,1024.0,6.0,"(0, 1, 2, 3)",1.0,39.000452756881714
14,3.0,2.9999999999994964,3.0,"[0.56643955 0.40830158 0.29969565 0.21343293 0.13240774 0.07661713
 0.03268217]",0.0,"{(1, 0, 0, 1): 135, (0, 1, 0, 0): 244, (1, 0, 1, 0): 144, (0, 1, 0, 1): 147, (1, 0, 1, 1): 219, (0, 1, 1, 0): 135}",3.0,3.0,"[0.32336065 0.78350277 1.00318624 1.15415722 1.3069888  1.40206673
 1.51139649]","{0: {1: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}, 3: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {1: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 0)",13.0,4.0,4.0,1024.0,7.0,"(0, 1, 2, 3)",1.0,55.500345945358276
15,3.0,2.9999999999961227,3.0,"[0.56695476 0.42288914 0.33295685 0.24831559 0.18346925 0.12088563
 0.0602261  0.01974432]",0.0,"{(0, 1, 0, 0): 253, (1, 0, 1, 1): 237, (0, 1, 1, 0): 121, (0, 1, 0, 1): 140, (1, 0, 0, 1): 136, (1, 0, 1, 0): 137}",3.0,3.0,"[0.30568423 0.72940171 0.93542879 1.08939579 1.22265056 1.33015936
 1.41668076 1.5123953 ]","{0: {1: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}, 3: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {1: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 0)",12.0,4.0,4.0,1024.0,8.0,"(0, 1, 2, 3)",1.0,76.74027395248413
16,2.0,1.9999999999999605,2.0,[0.39269903],0.0,"{(1, 0, 1, 0): 267, (0, 0, 1, 1): 259, (1, 1, 0, 0): 255, (0, 1, 0, 1): 243}",2.0,2.0,[1.57079613],"{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 0)",9.0,2.0,4.0,1024.0,1.0,"(0, 1, 2, 3)",2.0,0.4000270366668701
17,2.0,1.9999999999999731,2.0,[0.39269931 0.02310003],0.0,"{(0, 1, 0, 1): 255, (0, 0, 1, 1): 261, (1, 0, 1, 0): 249, (1, 1, 0, 0): 259}",2.0,2.0,[1.47839611 1.57080441],"{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 0, 1, 1)",7.0,2.0,4.0,1024.0,2.0,"(0, 1, 2, 3)",2.0,1.1701030731201172
18,2.0,1.9999999999999816,2.0,[-0.38789575 -0.03416216  0.00326922],0.0,"{(1, 0, 1, 0): 253, (0, 1, 0, 1): 254, (1, 1, 0, 0): 268, (0, 0, 1, 1): 249}",2.0,2.0,[-1.43505926 -1.52687342 -1.55642291],"{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 1, 0, 0)",7.0,2.0,4.0,1024.0,3.0,"(0, 1, 2, 3)",2.0,2.620088577270508
19,2.0,1.9999999999999742,2.0,[0.40117251 0.09162336 0.00854032 0.05508713],0.0,"{(1, 1, 0, 0): 259, (0, 0, 1, 1): 256, (0, 1, 0, 1): 255, (1, 0, 1, 0): 254}",2.0,2.0,[1.42060546 1.49528593 1.53782011 1.55163914],"{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 1, 0, 0)",7.0,2.0,4.0,1024.0,4.0,"(0, 1, 2, 3)",2.0,4.960054159164429
