Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   413281    0.469    0.000    0.469    0.000 {method 'predecessors' of 'retworkx.PyDAG' objects}
   397229    0.460    0.000    0.569    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:98(__repr__)
     4016    0.460    0.000    0.460    0.000 {built-in method nt.stat}
4803354/4799341    0.447    0.000    0.449    0.000 {built-in method builtins.len}
   529640    0.443    0.000    1.024    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:647(_check_cargs)
   264820    0.440    0.000    0.689    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\assembler\assemble_circuits.py:71(<listcomp>)
   244755    0.429    0.000    0.606    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:175(broadcast_arguments)
   397229    0.427    0.000    0.996    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:71(__repr__)
   389203    0.424    0.000    0.679    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:462(_bit_argument_conversion)
   451848    0.424    0.000    0.434    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:1025(__iter__)
  1721303    0.419    0.000    0.419    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:61(op)
     4013    0.415    0.000   13.415    0.003 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\converters\circuit_to_dag.py:20(circuit_to_dag)
   120370    0.413    0.000    7.757    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1803(cx)
