Tue Jun 23 13:33:19 2020    pso-static

         15241129 function calls (15186465 primitive calls) in 14.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    38500    0.057    0.000    0.097    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2467(__init__)
    61206    0.056    0.000    0.056    0.000 {method '__reduce_ex__' of 'object' objects}
    16500    0.055    0.000    0.196    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:37(__init__)
    49500    0.055    0.000    0.055    0.000 {method 'predecessors' of 'retworkx.PyDAG' objects}
   514331    0.055    0.000    0.055    0.000 {method 'append' of 'list' objects}
     1100    0.053    0.000    1.595    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\converters\circuit_to_dag.py:20(circuit_to_dag)
    45100    0.053    0.000    0.302    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:429(<listcomp>)
    11280    0.053    0.000    2.723    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:152(_run_this_pass)
555818/554718    0.052    0.000    0.052    0.000 {built-in method builtins.len}
     8800    0.052    0.000    0.119    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:202(_add_wire)
    45100    0.049    0.000    0.062    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:98(__repr__)
    30406    0.049    0.000    0.076    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\assembler\assemble_circuits.py:71(<listcomp>)
    42342    0.048    0.000    0.048    0.000 {method 'successors' of 'retworkx.PyDAG' objects}
    94912    0.048    0.000    0.082    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\_collections_abc.py:879(__iter__)
    45100    0.048    0.000    0.110    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:71(__repr__)
    61206    0.048    0.000    0.123    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:647(_check_cargs)
    48032    0.047    0.000    0.441    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
    42900    0.046    0.000    0.075    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:462(_bit_argument_conversion)
    30800    0.045    0.000    0.264    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:275(_add_op_node)
     1100    0.045    0.000   13.076    0.012 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:162(sample)
     1100    0.044    0.000    1.698    0.002 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:25(create_circuit)
    29448    0.043    0.000    0.071    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:865(substitute_node)
   329282    0.043    0.000    0.043    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:75(__hash__)
    25300    0.043    0.000    0.059    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:175(broadcast_arguments)
   169686    0.042    0.000    0.042    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:61(op)
