Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   529640    0.524    0.000    0.679    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:581(_update_parameter_table)
   529640    0.666    0.000    0.913    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:634(_check_dups)
   529640    0.799    0.000    2.920    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:640(_check_qargs)
   529640    0.443    0.000    1.024    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:647(_check_cargs)
   529640    0.254    0.000    5.673    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:274(copy)
   529640    0.595    0.000    5.419    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:292(__deepcopy__)
   529640    0.249    0.000    0.306    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:246(_check_bits)
   529640    0.089    0.000    0.089    0.000 {method 'copy' of 'list' objects}
   529640    0.475    0.000    0.475    0.000 {method '__reduce_ex__' of 'object' objects}
   529628    0.308    0.000    5.454    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3130(around)
   529628    0.309    0.000    6.525    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3590(round_)
   529628    0.334    0.000    6.216    0.000 <__array_function__ internals>:2(around)
   529628    0.360    0.000    7.401    0.000 <__array_function__ internals>:2(round_)
   512306    0.542    0.000    0.542    0.000 {built-in method numpy.array}
   489521    0.203    0.000    0.643    0.000 {built-in method builtins.any}
   458653    0.054    0.000    0.054    0.000 {method 'items' of 'dict' objects}
   457406    0.525    0.000    0.525    0.000 {method 'successors' of 'retworkx.PyDAG' objects}
   457406    0.242    0.000    0.840    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:116(successors)
   451848    0.424    0.000    0.434    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:1025(__iter__)
   417352    0.049    0.000    0.049    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2517(name)
   413281    0.469    0.000    0.469    0.000 {method 'predecessors' of 'retworkx.PyDAG' objects}
   413281    0.239    0.000    0.239    0.000 {method 'remove_edge' of 'retworkx.PyDAG' objects}
   413281    0.258    0.000    0.803    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:120(predecessors)
   413281    0.101    0.000    0.101    0.000 {method 'index' of 'list' objects}
   409326    0.065    0.000    0.065    0.000 {built-in method builtins.next}
   409270    0.104    0.000    0.104    0.000 {method 'rpartition' of 'str' objects}
   409265    0.250    0.000    0.354    0.000 <frozen importlib._bootstrap>:416(parent)
   409264    0.153    0.000    0.546    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   397229    0.473    0.000    2.926    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:429(<listcomp>)
   397229    0.194    0.000    3.120    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:424(qubits)
   397229    0.460    0.000    0.569    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:98(__repr__)
   397229    0.427    0.000    0.996    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:71(__repr__)
   389203    0.424    0.000    0.679    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:462(_bit_argument_conversion)
   385190    0.300    0.000    3.982    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:498(qbit_argument_conversion)
   380260    0.134    0.000    0.483    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\_asarray.py:16(asarray)
   369138    0.125    0.000    0.125    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:454(cast)
   329028    0.238    0.000    0.238    0.000 {method 'add_node' of 'retworkx.PyDAG' objects}
   329028    0.627    0.000    1.669    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:34(__init__)
   329028    0.216    0.000    0.454    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:50(_add_multi_graph_node)
   324999    0.482    0.000    0.777    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:865(substitute_node)
   324999    0.131    0.000    0.131    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:68(op)
   312962    0.633    0.000    2.932    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:42(_wrapit)
   312962    1.786    0.000    1.786    0.000 {method 'round' of 'numpy.ndarray' objects}
   309001    0.038    0.000    0.038    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2529(kind)
   268833    0.087    0.000    0.251    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\assembler\assemble_circuits.py:60(<genexpr>)
   268833    0.088    0.000    0.091    0.000 {method 'union' of 'set' objects}
   264820    0.543    0.000    0.786    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:203(assemble)
   264820    0.111    0.000    0.111    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\qobj\qasm_qobj.py:41(__init__)
   264820    0.263    0.000    0.368    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instructionset.py:43(add)
   264820    0.440    0.000    0.689    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\assembler\assemble_circuits.py:71(<listcomp>)
   264820    0.040    0.000    0.040    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:232(_check_condition)
   264820    0.044    0.000    0.044    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:264(_bits_in_condition)
   264820    0.398    0.000    2.347    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:275(_add_op_node)
   264820    3.877    0.000    9.012    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:292(apply_operation_back)
   252781    0.165    0.000    4.147    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:541(<listcomp>)
   252781    0.044    0.000    0.090    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:542(<listcomp>)
   252781    1.001    0.000    9.949    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:524(append)
   252781    0.118    0.000    0.118    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instructionset.py:25(__init__)
   248770    0.062    0.000    0.062    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:134(_broadcast_single_argument)
   244755    0.165    0.000   13.496    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\util.py:105(wrapper)
   244755    0.226    0.000    1.007    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:85(assemble)
   244755    0.045    0.000    0.045    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:92(label)
   244755    0.069    0.000    0.069    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:216(<listcomp>)
   244755    0.429    0.000    0.606    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:175(broadcast_arguments)
   240740    0.160    0.000    0.178    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:145(_broadcast_2_arguments)
   217904    0.044    0.000    0.044    0.000 {method 'startswith' of 'str' objects}
   216702    0.070    0.000    0.091    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2799(<genexpr>)
   216666    0.152    0.000    0.469    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:165(is_parameterized)
   216666    0.168    0.000    0.168    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:83(<listcomp>)
   216666    0.140    0.000    0.665    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:267(<lambda>)
   216666    1.578    0.000    1.578    0.000 {method 'round' of 'numpy.generic' objects}
   188585    0.036    0.000    0.036    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:153(__hash__)
   188585    0.219    0.000    0.469    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:26(__init__)
   188585    0.098    0.000    0.216    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:46(_update_hash)
   180555    0.168    0.000    1.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\u1.py:78(__init__)
   172533    0.169    0.000    0.614    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumregister.py:28(__init__)
   164507    0.068    0.000    0.244    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\re.py:232(compile)
   164507    0.125    0.000    0.176    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\re.py:271(_compile)
   164507    0.136    0.000    0.809    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:68(<listcomp>)
   164507    0.530    0.000    1.753    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:37(__init__)
   164507    0.139    0.000    0.139    0.000 {method 'match' of 're.Pattern' objects}
   156481    0.114    0.000    4.081    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:171(definition)
   152494    0.053    0.000    0.067    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:158(isfunction)
   144444    0.140    0.000    1.140    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\u3.py:62(__init__)
   140455    0.090    0.000    0.125    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\enum.py:284(__call__)
   140455    0.035    0.000    0.035    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\enum.py:526(__new__)
   140455    0.226    0.000    0.390    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2467(__init__)
   140455    0.026    0.000    0.026    0.000 {method 'isidentifier' of 'str' objects}
   136442    0.042    0.000    0.051    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\compiler\transpile.py:371(<genexpr>)
