Tue Jun 23 13:33:29 2020    pso-self

         14577833 function calls (14523029 primitive calls) in 13.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16500    0.053    0.000    0.189    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:37(__init__)
   513739    0.053    0.000    0.053    0.000 {method 'append' of 'list' objects}
    49500    0.053    0.000    0.053    0.000 {method 'predecessors' of 'retworkx.PyDAG' objects}
    45100    0.051    0.000    0.292    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:429(<listcomp>)
     1100    0.050    0.000    1.534    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\converters\circuit_to_dag.py:20(circuit_to_dag)
    11196    0.050    0.000    2.635    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:152(_run_this_pass)
     8800    0.050    0.000    0.113    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:202(_add_wire)
    30431    0.049    0.000    0.075    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\assembler\assemble_circuits.py:71(<listcomp>)
    45100    0.049    0.000    0.060    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:98(__repr__)
     1100    0.048    0.000   12.696    0.012 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass2\QAOA.py:166(sample)
    41993    0.048    0.000    0.048    0.000 {method 'successors' of 'retworkx.PyDAG' objects}
    94962    0.048    0.000    0.080    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\_collections_abc.py:879(__iter__)
    61231    0.047    0.000    0.120    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:647(_check_cargs)
    45100    0.046    0.000    0.107    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:71(__repr__)
    48170    0.046    0.000    0.432    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
    30800    0.044    0.000    0.255    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:275(_add_op_node)
    42900    0.044    0.000    0.072    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:462(_bit_argument_conversion)
479853/478753    0.043    0.000    0.044    0.000 {built-in method builtins.len}
    29484    0.042    0.000    0.069    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:865(substitute_node)
     1100    0.041    0.000    1.613    0.001 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass2\QAOA.py:28(create_circuit)
   329357    0.041    0.000    0.041    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:75(__hash__)
    25300    0.041    0.000    0.057    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:175(broadcast_arguments)
   294634    0.041    0.000    0.041    0.000 {method 'get' of 'dict' objects}
