,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,[5.06958739 0.30959421 2.12279636 1.74119552],qasm_simulator,"{'01000': 2, '00100': 449, '01101': 535, '10011': 569, '11011': 420, '10000': 2, '00110': 578, '00101': 518, '01111': 5, '00111': 9, '11000': 11, '11101': 2, '01100': 550, '11111': 17, '00001': 4, '10110': 557, '10111': 3, '10101': 532, '01011': 635, '10001': 536, '00010': 3, '11010': 588, '00000': 24, '01001': 599, '11110': 3, '11001': 584, '10010': 537, '11100': 9, '01010': 569, '10100': 563, '01110': 577, '00011': 10}",-0.9830000000000001,butterfly,1001.0,-3.983,no,NELDER_MEAD,2.0,[0 0 1 0 1],4.0,76.06069850921631
1,[2.2852946  1.58807396 2.66870847 6.72593361],qasm_simulator,"{'01000': 7, '00100': 117, '01101': 592, '10011': 567, '11011': 102, '10000': 5, '00110': 543, '00101': 564, '01111': 4, '11000': 48, '00111': 51, '11101': 4, '01100': 521, '11111': 153, '00001': 2, '10110': 605, '10111': 7, '10101': 605, '01011': 571, '10001': 564, '00010': 6, '11010': 557, '00000': 181, '01001': 585, '11110': 2, '11001': 521, '10010': 616, '11100': 39, '01010': 648, '10100': 547, '01110': 629, '00011': 37}",-0.8516,butterfly,1003.0,-3.8516,no,NELDER_MEAD,2.0,[1 0 1 0 1],4.0,75.61179542541504
2,[3.21273215 1.27165571 2.64517792 3.92691803],qasm_simulator,"{'01000': 3, '00100': 116, '01101': 714, '10101': 708, '01011': 525, '10001': 666, '00010': 1, '10011': 526, '11010': 545, '11011': 129, '10000': 6, '00110': 519, '00101': 528, '00000': 94, '01001': 594, '11110': 6, '01111': 2, '11001': 530, '00111': 11, '11000': 11, '11101': 2, '10010': 708, '01100': 533, '11111': 90, '00001': 5, '01010': 631, '10100': 516, '11100': 11, '10110': 618, '01110': 641, '00011': 11}",-0.9278,butterfly,1000.0,-3.9278,no,NELDER_MEAD,2.0,[0 1 0 0 1],4.0,76.20197176933289
3,[2.63452417 2.34932505 1.92147782 2.15303691],qasm_simulator,"{'01000': 94, '00100': 79, '01101': 43, '10011': 802, '11011': 72, '10000': 104, '00110': 768, '00101': 765, '01111': 87, '00111': 629, '11000': 635, '11101': 78, '01100': 822, '00001': 78, '11111': 7, '10110': 53, '10111': 72, '10101': 50, '01011': 834, '10001': 42, '00010': 71, '11010': 731, '00000': 5, '01001': 48, '11110': 94, '11001': 766, '10010': 44, '11100': 643, '01010': 45, '10100': 798, '01110': 48, '00011': 593}",-0.37839999999999996,butterfly,1002.0,-3.3784,no,NELDER_MEAD,2.0,[0 0 1 0 1],4.0,76.00767064094543
4,[0.08153402 1.11683191 2.86783262 2.49778674],qasm_simulator,"{'01000': 2, '00100': 450, '01101': 524, '10011': 541, '11011': 453, '10000': 3, '00110': 498, '00101': 551, '01111': 2, '00111': 38, '11000': 29, '11101': 2, '01100': 565, '00001': 4, '11111': 41, '10110': 536, '10111': 2, '10101': 561, '01011': 559, '10001': 546, '00010': 3, '11010': 588, '00000': 44, '01001': 543, '11110': 4, '11001': 632, '10010': 558, '11100': 32, '01010': 529, '10100': 564, '01110': 561, '00011': 35}",-0.9454,butterfly,1005.0,-3.9454000000000002,no,NELDER_MEAD,2.0,[0 1 1 0 0],4.0,77.33819270133972
5,[1.23558707 0.09095576 1.24719853 4.41181144],qasm_simulator,"{'01000': 3, '00100': 418, '01101': 572, '10101': 572, '01011': 554, '10001': 521, '00010': 2, '10011': 556, '11011': 386, '11010': 534, '10000': 1, '00110': 539, '00101': 518, '00000': 69, '01001': 557, '11110': 6, '01111': 2, '11001': 508, '00111': 52, '11101': 3, '11000': 50, '01100': 540, '11111': 76, '10010': 585, '11100': 68, '01010': 578, '10100': 603, '00001': 2, '10110': 530, '01110': 553, '00011': 42}",-0.9120000000000001,butterfly,1003.0,-3.912,no,NELDER_MEAD,2.0,[1 1 0 1 0],4.0,75.22868251800537
6,[0.86086194 0.78567655 2.65802543 2.88558761],qasm_simulator,"{'00100': 488, '01101': 561, '10101': 568, '01011': 574, '10001': 584, '00010': 1, '10011': 567, '11011': 488, '11010': 512, '00110': 554, '00101': 555, '00000': 28, '01001': 561, '01111': 1, '11001': 554, '11000': 32, '00111': 27, '01100': 557, '10010': 530, '11111': 16, '11100': 27, '01010': 547, '10100': 543, '00001': 1, '10110': 545, '01110': 541, '00011': 38}",-0.9694,butterfly,1000.0,-3.9694000000000003,no,NELDER_MEAD,2.0,[0 1 1 1 0],4.0,74.34176397323608
7,[0.74368271 1.0447756  5.7143103  6.00703102],qasm_simulator,"{'10111': 3, '01000': 2, '00100': 524, '01101': 566, '10101': 564, '01011': 562, '10001': 556, '00010': 5, '10011': 525, '11010': 524, '11011': 511, '10000': 1, '00110': 564, '00101': 567, '00000': 13, '01001': 551, '11110': 3, '11001': 607, '00111': 28, '11000': 19, '11101': 4, '01100': 526, '10010': 539, '11111': 12, '11100': 18, '01010': 547, '10100': 522, '10110': 557, '01110': 560, '00011': 20}",-0.9797999999999999,butterfly,1001.0,-3.9798,no,NELDER_MEAD,2.0,[0 1 1 0 0],4.0,74.17465209960938
8,[1.49572495 3.31241592 2.88555339 0.42697386],qasm_simulator,"{'01000': 7, '00100': 438, '01101': 574, '10011': 561, '11011': 397, '10000': 5, '00110': 586, '00101': 551, '01111': 9, '00111': 4, '11101': 10, '11000': 2, '01100': 545, '11111': 35, '00001': 2, '10110': 573, '10111': 8, '10101': 583, '01011': 519, '10001': 573, '00010': 11, '11010': 524, '00000': 41, '01001': 623, '11110': 10, '11001': 528, '10010': 556, '11100': 4, '01010': 595, '10100': 529, '01110': 594, '00011': 3}",-0.9716,butterfly,1001.0,-3.9716,no,NELDER_MEAD,2.0,[0 1 1 0 1],4.0,74.26933193206787
9,[0.6305609  4.23601694 2.56307233 0.24922933],qasm_simulator,"{'01000': 8, '00100': 444, '01101': 575, '10011': 550, '11011': 438, '10000': 12, '00110': 534, '00101': 582, '01111': 11, '00111': 56, '11000': 49, '11101': 14, '01100': 568, '11111': 7, '00001': 13, '10110': 539, '10111': 18, '10101': 533, '01011': 554, '10001': 516, '00010': 9, '11010': 552, '00000': 5, '01001': 561, '11110': 11, '11001': 549, '10010': 529, '11100': 62, '01010': 562, '10100': 575, '01110': 512, '00011': 52}",-0.9507999999999999,butterfly,1000.0,-3.9508,no,NELDER_MEAD,2.0,[0 1 0 1 1],4.0,73.92704558372498
