,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,[0.70592532 1.62664632 2.34534446 2.83841959],qasm_simulator,"{'01110': 444, '00110': 459, '00100': 482, '11110': 4, '11010': 449, '11101': 1, '10011': 417, '00101': 408, '01010': 480, '01100': 438, '11100': 8, '00111': 7, '11011': 486, '10001': 465, '10101': 483, '10000': 1, '01001': 472, '01111': 1, '10010': 478, '01000': 2, '00010': 1, '01101': 439, '11001': 422, '00001': 1, '10111': 2, '10110': 484, '01011': 434, '11111': 1, '10100': 416, '00011': 4, '11000': 3}",-0.98938769325397,butterfly,249.0,-3.98938769325397,0.0,NELDER_MEAD,2.0,[0 0 1 0 0],4.0,6.916519641876221,0.0
1,[0.92741436 3.98236382 5.87950163 0.32025751],qasm_simulator,"{'01110': 452, '00110': 465, '00100': 379, '11110': 2, '11010': 500, '11101': 1, '10011': 469, '00101': 475, '01010': 444, '01100': 476, '11100': 22, '00111': 13, '11011': 373, '10001': 461, '10101': 418, '10000': 4, '01001': 476, '01111': 1, '10010': 475, '01000': 6, '00010': 5, '01101': 422, '11001': 454, '00001': 1, '10111': 1, '10110': 455, '01011': 455, '11111': 1, '10100': 460, '00011': 12, '11000': 14}",-0.98170593454611,butterfly,371.0,-3.98170593454611,0.0,NELDER_MEAD,2.0,[1 0 1 0 0],4.0,10.358760356903076,0.0
2,[-0.92760485  2.30120821  9.82835391  2.82129691],qasm_simulator,"{'01110': 440, '00110': 448, '00100': 368, '11010': 492, '11101': 3, '10011': 489, '00101': 455, '01010': 414, '01100': 483, '11100': 13, '00111': 12, '11011': 381, '10001': 418, '10101': 458, '10000': 3, '01001': 479, '10010': 468, '01000': 3, '00010': 1, '01101': 426, '11001': 491, '00001': 2, '10111': 1, '10110': 481, '01011': 476, '10100': 448, '00000': 3, '00011': 11, '11000': 25}",-0.98170594110689,butterfly,387.0,-3.98170594110689,0.0,NELDER_MEAD,2.0,[1 0 1 0 0],4.0,10.666052103042603,0.0
3,[-0.92762114  2.30121977 -2.73801213  5.96289922],qasm_simulator,"{'01110': 452, '00110': 438, '00100': 377, '11110': 4, '11010': 467, '10011': 460, '00101': 444, '01010': 440, '01100': 475, '11100': 11, '00111': 16, '11011': 383, '10001': 487, '10101': 509, '10000': 2, '01001': 451, '01111': 4, '10010': 430, '01000': 4, '00010': 1, '01101': 414, '11001': 483, '00001': 2, '10111': 1, '10110': 419, '01011': 496, '11111': 1, '10100': 485, '00000': 1, '00011': 20, '11000': 15}",-0.98170594114864,butterfly,564.0,-3.9817059411486397,0.0,NELDER_MEAD,2.0,[0 1 0 1 0],4.0,15.465848207473755,0.0
4,[4.46149873 0.64729818 5.76989484 1.16919821],qasm_simulator,"{'01110': 508, '00110': 441, '00100': 305, '11110': 2, '11010': 470, '10011': 478, '00101': 459, '01010': 486, '01100': 476, '11100': 2, '00111': 1, '11011': 275, '10001': 476, '10101': 496, '01001': 501, '01111': 1, '10010': 467, '00010': 1, '01101': 473, '11001': 502, '10111': 2, '10110': 497, '01011': 436, '10100': 434, '00000': 2, '00011': 1}",-0.99608240089151,butterfly,312.0,-3.99608240089151,0.0,NELDER_MEAD,2.0,[1 0 0 0 1],4.0,8.483843088150024,0.0
5,[ 0.70593518  1.62666909  5.48694003 -0.30316483],qasm_simulator,"{'01110': 474, '00110': 416, '00100': 486, '11010': 468, '11101': 5, '10011': 414, '01010': 471, '01100': 409, '11011': 459, '10000': 3, '01111': 2, '10010': 465, '00010': 2, '01101': 459, '10110': 505, '01011': 436, '11111': 2, '00000': 2, '00011': 6, '11110': 1, '00101': 415, '11100': 2, '00111': 8, '10001': 480, '10101': 427, '01001': 443, '01000': 4, '11001': 437, '00001': 1, '10111': 2, '10100': 482, '11000': 6}",-0.98938769337275,butterfly,340.0,-3.98938769337275,0.0,NELDER_MEAD,2.0,[1 0 0 1 0],4.0,9.278578519821167,0.0
6,[0.70594897 1.62667161 2.34532938 2.83843418],qasm_simulator,"{'01110': 446, '00110': 471, '00100': 486, '11110': 2, '11010': 417, '11101': 3, '10011': 449, '00101': 505, '01010': 441, '01100': 429, '11100': 8, '00111': 6, '11011': 461, '10001': 460, '10101': 503, '01001': 427, '01111': 3, '10010': 436, '01000': 1, '00010': 3, '01101': 436, '11001': 444, '10110': 462, '01011': 447, '11111': 1, '10100': 432, '00000': 1, '00011': 7, '11000': 5}",-0.9893876927471,butterfly,399.0,-3.9893876927471,0.0,NELDER_MEAD,2.0,[0 1 0 1 1],4.0,10.831494808197021,0.0
7,[0.70596949 1.62664392 2.34538265 5.98005383],qasm_simulator,"{'01110': 466, '00110': 409, '00100': 488, '11110': 3, '11010': 454, '10011': 442, '00101': 457, '01010': 492, '01100': 433, '11100': 6, '00111': 4, '11011': 465, '10001': 427, '10101': 497, '10000': 1, '01001': 489, '10010': 432, '01000': 1, '01101': 445, '11001': 436, '00001': 3, '10111': 1, '10110': 491, '01011': 415, '10100': 424, '00000': 3, '00011': 6, '11000': 2}",-0.98938769286642,butterfly,308.0,-3.98938769286642,0.0,NELDER_MEAD,2.0,[0 1 0 1 0],4.0,8.374618291854858,0.0
8,[0.70594607 1.62668721 2.34534963 2.83843573],qasm_simulator,"{'01110': 472, '00110': 460, '00100': 483, '11110': 1, '11010': 426, '10011': 430, '00101': 452, '01010': 440, '01100': 459, '11100': 11, '00111': 7, '11011': 470, '10001': 478, '10101': 464, '10000': 2, '01001': 452, '01111': 1, '10010': 447, '01101': 459, '11001': 460, '00001': 1, '10111': 3, '10110': 447, '01011': 428, '11111': 5, '10100': 421, '00000': 2, '00011': 5, '11000': 6}",-0.98938769331096,butterfly,289.0,-3.98938769331096,0.0,NELDER_MEAD,2.0,[1 1 0 1 1],4.0,8.011861085891724,0.0
9,[0.70595486 1.62665283 5.48694735 2.83842311],qasm_simulator,"{'01110': 459, '00110': 381, '00100': 494, '11010': 481, '11101': 1, '10011': 472, '00101': 412, '01010': 460, '01100': 466, '11100': 5, '00111': 2, '11011': 455, '10001': 450, '10101': 457, '10000': 2, '01001': 457, '01111': 1, '10010': 459, '01101': 473, '11001': 437, '10111': 1, '10110': 423, '01011': 479, '11111': 2, '10100': 446, '00000': 3, '00011': 8, '11000': 6}",-0.98938769310985,butterfly,431.0,-3.98938769310985,0.0,NELDER_MEAD,2.0,[1 1 0 1 1],4.0,11.649210214614868,0.0
