,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,[ 4.58061709 -0.04548734  0.57945761  1.19154245  1.34481448  1.28708121],qasm_simulator,"{'01110': 491, '00110': 467, '00100': 324, '11010': 484, '10011': 462, '00101': 494, '01010': 487, '01100': 462, '11100': 1, '00111': 3, '11011': 299, '10001': 424, '10101': 488, '01001': 457, '10010': 479, '01000': 2, '01101': 479, '11001': 468, '10110': 459, '01011': 465, '10100': 491, '00011': 4, '11000': 2}",-0.99612551677786,butterfly,662.0,-3.9961255167778598,0.0,NELDER_MEAD,3.0,[0 1 0 1 1],4.0,19.45170783996582,0.0
1,[ 0.03969779  4.49147112  0.60406513 -3.88424486  5.74120863  1.18438687],qasm_simulator,"{'01110': 450, '00110': 493, '00100': 329, '11110': 1, '11010': 439, '11101': 1, '10011': 472, '00101': 458, '01010': 501, '01100': 442, '11100': 2, '00111': 4, '11011': 279, '10001': 477, '10101': 498, '10000': 1, '01001': 470, '10010': 512, '01101': 526, '11001': 459, '00001': 1, '10110': 472, '01011': 457, '11111': 1, '10100': 440, '00011': 5, '11000': 2}",-0.99648457586234,butterfly,978.0,-3.9964845758623397,0.0,NELDER_MEAD,3.0,[0 1 0 0 1],4.0,28.77851366996765,0.0
2,[2.10719967 2.05516404 2.94952377 0.80353017 1.88908005 1.91745456],qasm_simulator,"{'01110': 549, '00110': 417, '00100': 54, '11010': 378, '11101': 36, '10011': 405, '01010': 539, '01100': 409, '11011': 41, '10000': 26, '01111': 23, '10010': 584, '00010': 27, '01101': 512, '10110': 548, '01011': 460, '11111': 15, '00000': 19, '00011': 82, '11110': 29, '00101': 402, '11100': 70, '00111': 77, '10001': 560, '10101': 514, '01001': 493, '01000': 26, '11001': 402, '00001': 25, '10111': 21, '10100': 364, '11000': 85}",-0.85057784556929,butterfly,478.0,-3.85057784556929,0.0,NELDER_MEAD,3.0,[1 0 1 1 0],4.0,14.012027740478516,0.0
3,[ 0.43343363  1.97192382 -0.37721537  2.16253004  3.8393482   5.0952405 ],qasm_simulator,"{'01110': 484, '00110': 414, '00100': 490, '11010': 441, '10011': 440, '00101': 441, '01010': 471, '01100': 397, '11011': 436, '10001': 463, '10101': 458, '01001': 491, '10010': 459, '01101': 513, '11001': 444, '10110': 458, '01011': 430, '10100': 462}",-0.99999220790316,butterfly,1000.0,-3.9999922079031602,0.0,NELDER_MEAD,3.0,[0 1 0 0 1],4.0,29.513474702835083,0.0
4,[0.30215918 1.10096271 3.60727549 5.64728708 6.012592   3.38327561],qasm_simulator,"{'01110': 472, '00110': 513, '00100': 291, '11110': 1, '11010': 467, '10011': 485, '00101': 480, '01010': 483, '01100': 455, '11100': 9, '00111': 16, '11011': 327, '10001': 457, '10101': 466, '01001': 480, '01111': 1, '10010': 470, '01000': 1, '00010': 1, '01101': 468, '11001': 468, '00001': 2, '10110': 414, '01011': 466, '10100': 469, '00011': 16, '11000': 14}",-0.98417172731027,butterfly,1001.0,-3.98417172731027,0.0,NELDER_MEAD,3.0,[1 0 0 1 1],4.0,29.421690464019775,0.0
5,[ 0.46300812  1.21822845  1.63718967  2.07786112 -0.52669478  6.07303764],qasm_simulator,"{'01110': 448, '00110': 402, '00100': 567, '11010': 422, '10011': 458, '00101': 408, '01010': 472, '01100': 456, '11100': 1, '00111': 2, '11011': 553, '10001': 464, '10101': 440, '01001': 460, '10010': 429, '01101': 438, '11001': 436, '10110': 460, '01011': 429, '10100': 442, '00011': 3, '11000': 2}",-0.99817481606915,butterfly,1000.0,-3.99817481606915,0.0,NELDER_MEAD,3.0,[1 1 0 1 1],4.0,29.40151596069336,0.0
6,[2.10717544 2.05511389 2.94953622 3.94509617 1.88908107 5.05898867],qasm_simulator,"{'01110': 531, '00110': 426, '00100': 44, '11010': 388, '11101': 28, '10011': 375, '01010': 551, '01100': 405, '11011': 40, '10000': 19, '01111': 21, '10010': 526, '00010': 26, '01101': 526, '10110': 580, '01011': 424, '11111': 23, '00000': 23, '00011': 88, '11110': 20, '00101': 369, '11100': 81, '00111': 87, '10001': 568, '10101': 540, '01001': 526, '01000': 26, '11001': 391, '00001': 28, '10111': 28, '10100': 388, '11000': 96}",-0.850577842504,butterfly,367.0,-3.8505778425040003,0.0,NELDER_MEAD,3.0,[1 0 0 1 0],4.0,10.80077075958252,0.0
7,[ 0.78803549  0.8048506  -0.36210905  5.9965798   0.91584365  1.72700534],qasm_simulator,"{'01110': 467, '00110': 487, '00100': 340, '11110': 1, '11010': 445, '10011': 425, '00101': 442, '01010': 479, '01100': 486, '11100': 1, '00111': 3, '11011': 330, '10001': 440, '10101': 503, '01001': 474, '01111': 1, '10010': 517, '00010': 2, '01101': 448, '11001': 461, '10111': 1, '10110': 487, '01011': 474, '11111': 2, '10100': 473, '00000': 1, '00011': 1, '11000': 1}",-0.99671492939853,butterfly,852.0,-3.99671492939853,0.0,NELDER_MEAD,3.0,[1 0 1 1 0],4.0,25.030437707901,0.0
8,[4.37273215 0.8159228  0.61663368 2.75011302 4.31945558 3.00890309],qasm_simulator,"{'01110': 522, '00110': 473, '00100': 289, '11110': 1, '11010': 459, '11101': 2, '10011': 492, '00101': 450, '01010': 455, '01100': 448, '11100': 3, '00111': 3, '11011': 278, '10001': 519, '10101': 473, '10000': 1, '01001': 485, '10010': 502, '00010': 1, '01101': 499, '11001': 453, '00001': 1, '10110': 496, '01011': 461, '11111': 1, '10100': 421, '00011': 1, '11000': 3}",-0.9963849651777,butterfly,1000.0,-3.9963849651777,0.0,NELDER_MEAD,3.0,[1 0 0 0 1],4.0,29.436514854431152,0.0
9,[0.61181921 1.37797215 1.74847324 2.1456938  2.67514277 2.96193901],qasm_simulator,"{'01110': 458, '00110': 442, '00100': 550, '11010': 409, '10011': 414, '00101': 413, '01010': 429, '01100': 402, '11011': 592, '10001': 473, '10101': 455, '01001': 458, '10010': 519, '01101': 494, '11001': 422, '10110': 460, '01011': 395, '10100': 407}",-0.99999999970814,butterfly,696.0,-3.99999999970814,0.0,NELDER_MEAD,3.0,[0 0 1 0 0],4.0,19.82257890701294,0.0
