,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,[1.17563729 2.49969335],Aer_qasm_simulator,"{'10111': 1, '01000': 3, '00100': 336, '01101': 438, '10101': 438, '01011': 444, '10001': 447, '10011': 439, '11010': 455, '11011': 322, '10000': 1, '00110': 458, '00000': 29, '00101': 453, '01001': 428, '11110': 1, '11001': 426, '11000': 35, '11101': 3, '00111': 36, '10010': 489, '11111': 37, '01100': 425, '11100': 40, '01010': 443, '10100': 452, '10110': 452, '01110': 428, '00011': 41}",-0.92876447270052,butterfly,85.0,-3.9287644727005198,?,NELDER_MEAD,1.0,[1 0 1 1 0],4.0,2.2379305362701416
1,[1.17566304 2.49973078],Aer_qasm_simulator,"{'10111': 2, '00100': 330, '01101': 483, '10101': 471, '01011': 421, '10001': 429, '00010': 1, '10011': 486, '11010': 420, '11011': 378, '10000': 2, '00110': 456, '00000': 35, '00101': 437, '01001': 415, '11110': 2, '11001': 448, '11000': 38, '11101': 2, '00111': 31, '10010': 428, '11111': 45, '01100': 426, '11100': 34, '01010': 432, '10100': 444, '10110': 433, '01110': 445, '00011': 26}",-0.92876446968773,butterfly,81.0,-3.9287644696877297,?,NELDER_MEAD,1.0,[0 0 1 1 0],4.0,2.0848774909973145
2,[5.10752788 0.64186813],Aer_qasm_simulator,"{'01000': 1, '00100': 341, '01101': 444, '10101': 466, '01011': 464, '10001': 473, '00010': 1, '10011': 438, '11010': 440, '11011': 332, '00110': 461, '00000': 32, '00101': 448, '01001': 454, '11110': 1, '11001': 454, '11000': 42, '00111': 36, '10010': 441, '11111': 28, '01100': 410, '11100': 36, '01010': 443, '10100': 425, '10110': 411, '01110': 446, '00011': 32}",-0.92876447064981,butterfly,102.0,-3.92876447064981,?,NELDER_MEAD,1.0,[0 1 1 1 0],4.0,2.5622026920318604
3,[1.17567878 2.49971251],Aer_qasm_simulator,"{'01000': 3, '00100': 321, '01101': 481, '10101': 434, '01011': 479, '10001': 432, '10011': 419, '11010': 450, '11011': 370, '10000': 1, '00110': 439, '00000': 41, '00101': 411, '01001': 450, '01111': 1, '11001': 395, '11000': 33, '00111': 40, '10010': 456, '00001': 1, '11111': 31, '11100': 43, '01010': 426, '10100': 463, '01100': 448, '10110': 443, '01110': 455, '00011': 34}",-0.92876447208641,butterfly,64.0,-3.92876447208641,?,NELDER_MEAD,1.0,[0 1 0 0 1],4.0,1.60036039352417
4,[1.17562342 2.49968761],Aer_qasm_simulator,"{'10111': 3, '01000': 1, '00100': 347, '01101': 449, '10101': 402, '01011': 482, '10001': 462, '10011': 450, '11010': 419, '11011': 344, '10000': 1, '00110': 444, '00000': 41, '00101': 400, '01001': 455, '11001': 464, '11000': 26, '00111': 31, '10010': 418, '00001': 3, '11111': 40, '11100': 35, '01010': 430, '10100': 485, '01100': 434, '10110': 463, '01110': 438, '00011': 33}",-0.92876447222425,butterfly,63.0,-3.92876447222425,?,NELDER_MEAD,1.0,[1 1 0 1 0],4.0,2.0533030033111572
5,[1.17564597 2.49968894],Aer_qasm_simulator,"{'10111': 1, '01000': 2, '00100': 316, '01101': 460, '10101': 461, '01011': 440, '10001': 462, '10011': 444, '11010': 456, '11011': 349, '10000': 1, '00110': 442, '00000': 33, '00101': 429, '01001': 450, '11001': 429, '11000': 41, '11101': 1, '00111': 28, '10010': 420, '00001': 1, '11111': 30, '11100': 36, '01010': 436, '10100': 461, '01100': 434, '10110': 447, '01110': 456, '00011': 34}",-0.9287644728203,butterfly,91.0,-3.9287644728203,?,NELDER_MEAD,1.0,[0 1 1 1 0],4.0,2.5274288654327393
6,[1.17562383 5.64129438],Aer_qasm_simulator,"{'10111': 2, '01000': 1, '00100': 355, '01101': 445, '10101': 421, '01011': 436, '10001': 447, '00010': 1, '10011': 430, '11010': 441, '11011': 347, '10000': 3, '00110': 449, '00000': 27, '00101': 436, '01001': 458, '11001': 434, '11000': 41, '11101': 1, '00111': 28, '10010': 457, '11111': 34, '01100': 439, '11100': 33, '01010': 429, '10100': 446, '10110': 472, '01110': 461, '00011': 26}",-0.92876447195317,butterfly,72.0,-3.92876447195317,?,NELDER_MEAD,1.0,[1 0 0 1 0],4.0,2.0402748584747314
7,[-1.1756456   0.64188361],Aer_qasm_simulator,"{'00100': 318, '01101': 461, '10101': 449, '01011': 461, '10001': 439, '10011': 459, '11010': 440, '11011': 331, '10000': 1, '00110': 432, '00000': 31, '00101': 464, '01001': 441, '11110': 2, '01111': 2, '11001': 451, '11000': 52, '00111': 41, '10010': 439, '11111': 35, '01100': 462, '11100': 31, '01010': 408, '10100': 442, '10110': 455, '01110': 413, '00011': 40}",-0.92876447222385,butterfly,95.0,-3.92876447222385,?,NELDER_MEAD,1.0,[0 1 0 1 1],4.0,2.352165460586548
8,[1.17566469 2.49966042],Aer_qasm_simulator,"{'00100': 319, '01101': 478, '10101': 431, '01011': 459, '10001': 497, '00010': 4, '10011': 449, '11010': 447, '11011': 331, '10000': 1, '00110': 440, '00000': 36, '00101': 435, '01001': 424, '11110': 3, '11001': 450, '11000': 45, '11101': 1, '00111': 45, '10010': 428, '00001': 2, '11111': 36, '11100': 38, '01010': 425, '10100': 431, '01100': 464, '10110': 470, '01110': 378, '00011': 33}",-0.92876446972746,butterfly,76.0,-3.9287644697274597,?,NELDER_MEAD,1.0,[0 1 1 1 0],4.0,1.9052646160125732
9,[1.17568342 2.49967942],Aer_qasm_simulator,"{'01000': 1, '00100': 366, '01101': 479, '10101': 442, '01011': 476, '10001': 438, '00010': 3, '10011': 412, '11010': 458, '11011': 320, '10000': 2, '00110': 461, '00000': 37, '00101': 424, '01001': 433, '11110': 3, '01111': 2, '11001': 421, '11000': 35, '00111': 37, '10010': 452, '00001': 3, '11111': 34, '11100': 30, '01010': 442, '10100': 403, '01100': 471, '10110': 432, '01110': 446, '00011': 37}",-0.92876447169194,butterfly,119.0,-3.92876447169194,?,NELDER_MEAD,1.0,[0 1 0 0 1],4.0,2.9294872283935547
