,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,[0.70597009 1.62663876 2.34535878 2.83845253],Aer_qasm_simulator,"{'10111': 2, '01000': 6, '00100': 463, '01101': 383, '10101': 482, '01011': 415, '10001': 471, '10011': 428, '11010': 448, '11011': 463, '00110': 429, '00000': 2, '00101': 421, '01001': 483, '01111': 2, '11001': 466, '11000': 8, '11101': 3, '00111': 5, '10010': 447, '11111': 2, '01100': 407, '11100': 5, '01010': 410, '10100': 418, '10110': 429, '01110': 498, '00011': 4}",-0.98938769281438,butterfly,270.0,-3.98938769281438,?,NELDER_MEAD,2.0,[1 0 0 0 1],4.0,7.207897901535034
1,[0.92763882 3.98192936 2.73801477 6.60345954],Aer_qasm_simulator,"{'10111': 2, '01000': 2, '00100': 338, '01101': 464, '10101': 461, '01011': 425, '10001': 440, '00010': 4, '10011': 477, '11010': 474, '11011': 362, '10000': 2, '00110': 434, '00000': 1, '00101': 468, '01001': 437, '11110': 1, '01111': 3, '11001': 427, '11000': 15, '11101': 1, '00111': 11, '10010': 448, '00001': 2, '01100': 432, '11100': 12, '01010': 464, '10100': 461, '10110': 467, '01110': 451, '00011': 14}",-0.98170594097656,butterfly,282.0,-3.98170594097656,?,NELDER_MEAD,2.0,[0 0 1 1 0],4.0,7.543593883514404
2,[0.70595858 1.62661343 2.34534642 5.98002705],Aer_qasm_simulator,"{'10111': 3, '01000': 2, '00100': 457, '01101': 487, '10101': 473, '01011': 373, '10001': 411, '00010': 1, '10011': 452, '11010': 428, '11011': 486, '00110': 407, '00000': 5, '00101': 372, '01001': 447, '11110': 1, '01111': 2, '11001': 425, '11000': 6, '11101': 3, '00111': 5, '10010': 471, '00001': 2, '11111': 2, '11100': 7, '01010': 445, '10100': 464, '01100': 419, '10110': 486, '01110': 450, '00011': 8}",-0.98938769226688,butterfly,383.0,-3.98938769226688,?,NELDER_MEAD,2.0,[0 1 0 0 1],4.0,13.32917070388794
3,[0.92762405 3.98194488 2.73802306 0.32028454],Aer_qasm_simulator,"{'10111': 7, '01000': 3, '00100': 342, '01101': 469, '10101': 431, '01011': 504, '10001': 450, '00010': 1, '10011': 427, '11010': 441, '11011': 365, '10000': 3, '00110': 468, '00101': 472, '01001': 439, '11110': 4, '01111': 1, '11001': 464, '11000': 24, '11101': 3, '00111': 7, '10010': 452, '00001': 2, '11111': 2, '11100': 15, '01010': 434, '10100': 452, '01100': 436, '10110': 422, '01110': 446, '00011': 14}",-0.98170594097732,butterfly,273.0,-3.98170594097732,?,NELDER_MEAD,2.0,[0 0 1 0 1],4.0,11.918190240859985
4,[4.46143951 0.64731369 2.62832487 1.16915853],Aer_qasm_simulator,"{'00100': 285, '01101': 426, '10101': 493, '01011': 420, '10001': 494, '00010': 1, '10011': 474, '11010': 465, '11011': 281, '10000': 1, '00110': 430, '00101': 469, '01001': 472, '11001': 445, '11000': 3, '11101': 1, '10010': 484, '01100': 496, '11100': 5, '01010': 455, '10100': 463, '10110': 449, '01110': 481, '00011': 7}",-0.9960824006309,butterfly,281.0,-3.9960824006309,?,NELDER_MEAD,2.0,[1 1 0 0 1],4.0,12.481265544891357
5,[ 1.82166303 -0.64727923  0.51331964  1.9723589 ],Aer_qasm_simulator,"{'10111': 1, '00100': 300, '01101': 475, '10101': 467, '01011': 488, '10001': 446, '00010': 1, '10011': 459, '11010': 435, '11011': 286, '10000': 1, '00110': 438, '00101': 425, '01001': 467, '01111': 1, '11001': 440, '11000': 5, '00111': 1, '10010': 507, '01100': 418, '11100': 1, '01010': 519, '10100': 455, '10110': 490, '01110': 469, '00011': 5}",-0.99608240083306,butterfly,337.0,-3.99608240083306,?,NELDER_MEAD,2.0,[1 0 1 0 1],4.0,13.407437324523926
6,[0.70593209 1.62660657 5.48695402 2.83841841],Aer_qasm_simulator,"{'10111': 1, '01000': 3, '00100': 495, '01101': 473, '10101': 470, '01011': 431, '10001': 478, '00010': 3, '10011': 422, '11010': 411, '11011': 475, '10000': 2, '00110': 418, '00000': 2, '00101': 395, '01001': 431, '11110': 1, '01111': 1, '11001': 440, '11000': 8, '00111': 3, '10010': 469, '11111': 1, '01100': 424, '11100': 9, '01010': 422, '10100': 422, '10110': 440, '01110': 444, '00011': 6}",-0.98938769296247,butterfly,452.0,-3.98938769296247,?,NELDER_MEAD,2.0,[1 1 0 1 1],4.0,15.110685110092163
7,[0.70595812 1.62663887 5.48696781 2.83842802],Aer_qasm_simulator,"{'01000': 3, '00100': 479, '01101': 453, '10101': 431, '01011': 445, '10001': 437, '00010': 1, '10011': 440, '11010': 452, '11011': 477, '00110': 374, '00101': 440, '01001': 457, '11110': 3, '01111': 1, '11001': 432, '11000': 3, '00111': 5, '10010': 462, '00001': 1, '11111': 3, '11100': 8, '01010': 473, '10100': 414, '01100': 418, '10110': 421, '01110': 451, '00011': 16}",-0.9893876929712,butterfly,342.0,-3.9893876929712,?,NELDER_MEAD,2.0,[1 1 0 1 1],4.0,11.321078300476074
8,[5.35554218 2.30125819 6.68676491 5.9629055 ],Aer_qasm_simulator,"{'10111': 2, '01000': 2, '00100': 348, '01101': 435, '10101': 477, '01011': 464, '10001': 450, '00010': 1, '10011': 426, '11010': 436, '11011': 370, '10000': 2, '00110': 437, '00101': 461, '01001': 408, '11110': 1, '01111': 2, '11001': 492, '11000': 13, '00111': 14, '10010': 473, '00001': 1, '11111': 1, '11100': 6, '01010': 468, '10100': 461, '01100': 447, '10110': 441, '01110': 440, '00011': 21}",-0.98170594114647,butterfly,390.0,-3.98170594114647,?,NELDER_MEAD,2.0,[0 1 1 0 0],4.0,12.432953119277954
9,[4.46145521 0.64732147 2.62831631 7.4523615 ],Aer_qasm_simulator,"{'00100': 292, '01101': 481, '10101': 480, '01011': 444, '10001': 493, '10011': 430, '11010': 382, '11011': 279, '00110': 448, '00101': 454, '01001': 476, '01111': 1, '11001': 445, '11000': 3, '11101': 1, '00111': 1, '10010': 519, '11111': 1, '01100': 475, '11100': 3, '01010': 498, '10100': 464, '10110': 464, '01110': 463, '00011': 3}",-0.99608240092482,butterfly,374.0,-3.99608240092482,?,NELDER_MEAD,2.0,[1 0 1 1 0],4.0,11.758995771408081
