,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,"[0.88753759 1.61826138 2.45265111 1.21383034 2.22237221 7.65432251
 2.2492793  3.04591227 2.49255429 5.27616217]",qasm_simulator,"{'1010': 4150, '1101': 1, '1110': 1, '0110': 1, '1001': 1, '0101': 4038}",-1.49837024848693,diamond,1001.0,-3.99837024848693,0.0,NELDER_MEAD,5.0,[1 0 1 0],4.0,29.1669864654541,0.0
1,"[ 0.61158388  0.64591776  0.8322448   2.60600711  2.30666551  5.33640438
  3.61757927 -0.64865001  2.28073744  2.35918879]",qasm_simulator,"{'0010': 5, '1101': 5, '0110': 15, '1110': 3, '0001': 2, '0100': 7, '0101': 4059, '1010': 4045, '1100': 12, '0111': 6, '1011': 4, '1001': 13, '1111': 1, '0011': 12, '1000': 3}",-1.48695558456665,diamond,1000.0,-3.9869555845666502,0.0,NELDER_MEAD,5.0,[0 1 0 1],4.0,29.100749015808105,0.0
2,"[1.57783411 0.2146204  2.34779926 1.26900605 2.12202255 3.34663015
 2.08533966 6.66357052 2.36846682 4.91769265]",qasm_simulator,"{'1110': 28, '0110': 17, '0100': 40, '0101': 3921, '1010': 4016, '1100': 17, '0111': 3, '1001': 18, '1111': 4, '1000': 12, '0010': 9, '1101': 3, '0001': 37, '1011': 44, '0000': 10, '0011': 13}",-1.45466897913526,diamond,1000.0,-3.95466897913526,0.0,NELDER_MEAD,5.0,[1 0 1 0],4.0,30.044896364212036,0.0
3,"[1.75447729 1.55032948 1.62488644 3.53324322 2.4778571  4.45053153
 3.38315403 4.79776933 1.02731594 0.98770073]",qasm_simulator,"{'1010': 4087, '0010': 1, '1011': 2, '1101': 1, '1110': 3, '0100': 1, '0101': 4097}",-1.49866055051778,diamond,1000.0,-3.99866055051778,0.0,NELDER_MEAD,5.0,[0 1 0 1],4.0,29.13639497756958,0.0
4,"[ 1.32921552 -0.01838489  2.8696106   2.23618416  0.31265033  0.05880798
  2.41005813  2.3157167   5.83460262  2.73191402]",qasm_simulator,"{'0010': 2, '1101': 3, '0110': 7, '1110': 5, '0001': 3, '0100': 1, '0101': 4048, '1010': 4095, '1100': 8, '1011': 2, '1001': 7, '0011': 9, '1000': 2}",-1.49266279016217,diamond,1000.0,-3.99266279016217,0.0,NELDER_MEAD,5.0,[1 0 1 0],4.0,29.044891834259033,0.0
5,"[0.24010603 2.22270646 2.27700523 1.57244721 2.11994623 0.46139418
 5.17712373 0.56435171 3.73417872 4.62020154]",qasm_simulator,"{'0010': 3, '1110': 25, '0110': 37, '0001': 12, '0100': 11, '0101': 4068, '1010': 3897, '1100': 49, '0111': 3, '1011': 13, '1001': 36, '0000': 2, '1111': 2, '0011': 33, '1000': 1}",-1.47265099272001,diamond,1001.0,-3.97265099272001,0.0,NELDER_MEAD,5.0,[0 1 0 1],4.0,29.06144952774048,0.0
6,"[ 0.78513578  2.01408336  0.2746938   5.67100789  0.12890545  4.10400439
 -4.91477891 13.45080405  8.93572313 -0.88224873]",qasm_simulator,"{'0010': 15, '1101': 10, '0110': 75, '1110': 12, '0001': 13, '0100': 12, '0101': 3885, '1010': 3903, '1100': 74, '0111': 2, '1011': 12, '1001': 90, '1111': 2, '0011': 75, '1000': 12}",-1.45219252207523,diamond,1000.0,-3.9521925220752303,0.0,NELDER_MEAD,5.0,[1 0 1 0],4.0,30.278632402420044,0.0
7,"[ 1.04927386e+00  4.40582560e+00  3.68963292e-01  5.28669234e+00
  1.74572084e-01  3.85107081e+00  4.52810208e+00 -1.79885411e-03
  7.87511000e-01  1.54965219e-01]",qasm_simulator,"{'1110': 1, '0001': 4, '0100': 2, '0101': 4063, '1010': 4108, '1100': 7, '1011': 1, '1001': 2, '0011': 1, '1000': 3}",-1.49551348003871,diamond,1001.0,-3.99551348003871,0.0,NELDER_MEAD,5.0,[1 0 1 0],4.0,29.331915378570557,0.0
8,"[ 3.1604702   0.16034217  5.55979276  1.22608575  1.06334818 -0.45480765
  4.78747932  2.68331286  0.5848086   4.71619888]",qasm_simulator,"{'1110': 8, '0110': 194, '0100': 8, '0101': 3626, '1010': 3674, '1100': 209, '0111': 9, '1001': 209, '1111': 10, '1000': 11, '0010': 8, '1101': 12, '0001': 7, '1011': 6, '0000': 7, '0011': 194}",-1.37488188956098,diamond,1001.0,-3.87488188956098,0.0,NELDER_MEAD,5.0,[1 0 1 0],4.0,29.41007375717163,0.0
9,"[2.29883579 0.79257729 2.02915545 2.42411196 0.91213801 1.83537398
 0.25144971 3.8958067  0.42482891 4.40631066]",qasm_simulator,"{'1110': 24, '0110': 66, '0100': 23, '0101': 4000, '1010': 3795, '1100': 62, '0111': 4, '1001': 74, '1111': 2, '1000': 5, '0010': 2, '1101': 5, '0001': 22, '1011': 22, '0000': 2, '0011': 84}",-1.45336412162704,diamond,1000.0,-3.95336412162704,0.0,NELDER_MEAD,5.0,[0 1 0 1],4.0,29.19565725326538,0.0
