,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"[7.00581375e-01 5.37504599e-03 1.62550735e+00 3.13261569e+00
 2.35464189e+00 5.98016304e+00]",Aer_qasm_simulator,"{'10111': 2, '00100': 481, '01101': 456, '10101': 417, '01011': 447, '10001': 444, '00010': 1, '10011': 408, '11010': 457, '11011': 461, '10000': 3, '00110': 420, '00000': 2, '00101': 420, '01001': 446, '11110': 1, '01111': 2, '11001': 435, '11000': 6, '11101': 1, '00111': 6, '10010': 439, '00001': 3, '11111': 1, '11100': 4, '01010': 450, '10100': 452, '01100': 438, '10110': 463, '01110': 426, '00011': 8}",-0.98938818894425,butterfly,1001.0,-3.98938818894425,?,NELDER_MEAD,3.0,[1 1 0 1 1],4.0,33.41568398475647
1,[1.77813885 4.80749055 1.36908882 4.44534555 3.6140936  4.32236559],Aer_qasm_simulator,"{'00100': 511, '01101': 276, '10101': 267, '01011': 556, '10001': 297, '10011': 583, '11010': 592, '11011': 529, '00110': 624, '00000': 2, '00101': 593, '01001': 277, '11001': 640, '10010': 265, '01100': 557, '01010': 306, '10100': 566, '10110': 294, '01110': 264, '00011': 1}",-0.99889945388683,butterfly,393.0,-3.99889945388683,?,NELDER_MEAD,3.0,[0 1 1 0 0],4.0,13.586556196212769
2,[0.75120499 1.44974655 4.38357156 5.13025242 2.85739994 3.44902857],Aer_qasm_simulator,"{'00100': 486, '01101': 463, '10101': 453, '01011': 415, '10001': 436, '10011': 402, '11010': 457, '11011': 459, '00110': 430, '00101': 431, '01001': 453, '11001': 423, '10010': 417, '01100': 463, '01010': 433, '10100': 465, '10110': 439, '01110': 475}",-0.99999988100616,butterfly,1001.0,-3.99999988100616,?,NELDER_MEAD,3.0,[1 1 0 1 1],4.0,38.614205837249756
3,[-0.01023366  0.71548753  1.63071505  3.76539584  2.35407037  5.98261997],Aer_qasm_simulator,"{'10111': 1, '01000': 1, '00100': 484, '01101': 447, '10101': 516, '01011': 428, '10001': 425, '00010': 1, '10011': 445, '11010': 458, '11011': 417, '00110': 424, '00000': 1, '00101': 409, '01001': 475, '11110': 2, '11001': 412, '11000': 8, '11101': 2, '00111': 4, '10010': 437, '00001': 2, '11111': 2, '11100': 9, '01010': 426, '10100': 478, '01100': 424, '10110': 440, '01110': 418, '00011': 4}",-0.98948773830455,butterfly,1000.0,-3.98948773830455,?,NELDER_MEAD,3.0,[0 1 0 1 0],4.0,36.33349633216858
4,[0.63193322 1.40427736 1.76533658 5.30495841 2.69160293 2.97202281],Aer_qasm_simulator,"{'00100': 579, '01101': 424, '10101': 434, '01011': 421, '10001': 448, '10011': 419, '11010': 429, '11011': 607, '00110': 412, '00101': 380, '01001': 464, '11001': 400, '10010': 457, '01100': 395, '01010': 461, '10100': 400, '10110': 412, '01110': 458}",-0.99991913587886,butterfly,1000.0,-3.99991913587886,?,NELDER_MEAD,3.0,[0 0 1 0 0],4.0,37.7870454788208
5,[3.01955965 3.00700705 1.13400894 4.57808744 2.29491274 4.94737656],Aer_qasm_simulator,"{'01000': 8, '00100': 465, '01101': 492, '10011': 317, '11011': 480, '10000': 6, '00110': 375, '00101': 320, '01111': 8, '11000': 48, '11101': 14, '00111': 43, '01100': 365, '00001': 14, '11111': 24, '10110': 495, '10111': 7, '10101': 473, '01011': 332, '10001': 487, '00010': 5, '11010': 358, '00000': 9, '01001': 535, '11110': 11, '11001': 353, '10010': 506, '11100': 41, '01010': 530, '10100': 356, '01110': 476, '00011': 47}",-0.92442040841377,butterfly,466.0,-3.92442040841377,?,NELDER_MEAD,3.0,[0 1 1 0 1],4.0,14.794142484664917
6,[0.59848594 1.33325886 1.65636367 5.28423639 2.68440364 2.96582566],Aer_qasm_simulator,"{'10111': 1, '00100': 553, '01101': 436, '10101': 441, '01011': 404, '10001': 466, '10011': 424, '11010': 402, '11011': 525, '10000': 1, '00110': 418, '00101': 400, '01001': 453, '01111': 1, '11001': 389, '11000': 1, '10010': 449, '01100': 466, '11100': 1, '01010': 443, '10100': 419, '10110': 435, '01110': 472}",-0.99928914989968,butterfly,1001.0,-3.99928914989968,?,NELDER_MEAD,3.0,[1 1 0 1 1],4.0,33.7405903339386
7,[ 1.81609556  5.65127945 -0.01504234  0.52340273  5.75479416  5.63337275],Aer_qasm_simulator,"{'00100': 288, '01101': 501, '10101': 494, '01011': 438, '10001': 471, '10011': 478, '11010': 466, '11011': 300, '10000': 1, '00110': 428, '00000': 2, '00101': 447, '01001': 464, '11001': 460, '11000': 3, '00111': 3, '10010': 487, '11111': 1, '01100': 418, '01010': 497, '10100': 460, '10110': 421, '01110': 469, '00011': 3}",-0.99608332021255,butterfly,691.0,-3.99608332021255,?,NELDER_MEAD,3.0,[0 1 0 0 1],4.0,23.657090425491333
8,[ 1.22629901 -0.49877407  2.17200847  0.54942013  4.73390095  6.06549339],Aer_qasm_simulator,"{'00100': 418, '01101': 474, '10101': 449, '01011': 446, '10001': 474, '10011': 435, '11010': 416, '11011': 408, '10000': 1, '00110': 433, '00000': 7, '00101': 427, '01001': 462, '11110': 1, '11001': 390, '11000': 2, '00111': 1, '10010': 500, '01100': 407, '11100': 4, '01010': 458, '10100': 388, '10110': 514, '01110': 482, '00011': 3}",-0.99542223307879,butterfly,1000.0,-3.99542223307879,?,NELDER_MEAD,3.0,[1 0 0 1 0],4.0,32.811209201812744
9,[0.60450303 1.28724449 1.3156859  2.24537963 5.95003397 6.14784405],Aer_qasm_simulator,"{'10111': 1, '00100': 511, '01101': 478, '10101': 403, '01011': 410, '10001': 478, '10011': 438, '11010': 429, '11011': 496, '10000': 2, '00110': 415, '00000': 1, '00101': 423, '01001': 442, '11110': 1, '11001': 408, '11000': 1, '11101': 1, '00111': 2, '10010': 465, '00001': 1, '01100': 409, '11100': 5, '01010': 445, '10100': 415, '10110': 442, '01110': 478}",-0.99496012302234,butterfly,1001.0,-3.99496012302234,?,NELDER_MEAD,3.0,[1 1 0 1 1],4.0,32.63145184516907
