,angles,backend,distribution,energy,graph_atlas index,iterations,max-cut objective,noise,optimizer,optimum,p,solution,solution objective,time,topology
43,[ -727.80400959 10212.40255182 25571.15533544  1756.16995323],qasm_simulator,"{'00111': 4, '01000': 6, '00001': 4, '11010': 2, '11111': 2, '10001': 5, '00011': 3, '01001': 7, '01101': 4, '10100': 6, '11000': 1, '00100': 1, '11001': 3, '00110': 2, '10010': 5, '10101': 5, '10111': 3, '00000': 1, '01010': 4, '01110': 3, '01111': 5, '11011': 1, '10011': 3, '11101': 1, '00101': 1, '10000': 4, '01011': 5, '10110': 3, '11100': 3, '11110': 3}",-0.09054666816057,20.0,,-0.59054666816057,0.0,SPSA,1.0,2.0,[0 1 1 0 1],1.0,9.518018960952759,0.0
44,"[ 18822.26937498 -20711.39265915 -14940.33668343  10240.75017377
    127.31156635   3070.37444355]",qasm_simulator,"{'00111': 6, '00001': 2, '11010': 9, '11111': 6, '00011': 6, '01101': 1, '11000': 7, '00100': 10, '00010': 5, '11001': 5, '00110': 2, '00000': 3, '01010': 1, '01110': 1, '11011': 5, '10011': 1, '11101': 6, '00101': 7, '11100': 5, '11110': 12}",0.45163244468787,20.0,,-0.048367555312129995,0.0,SPSA,1.0,3.0,[1 0 0 0 0],0.0,12.000776767730713,0.0
45,[  1561.10484314 -13860.87305715],qasm_simulator,"{'00111': 2, '01000': 3, '00001': 2, '11010': 4, '11111': 4, '10001': 3, '00011': 1, '01001': 6, '01101': 6, '10100': 6, '00010': 7, '11001': 5, '10010': 3, '10101': 3, '00000': 3, '01010': 4, '01110': 2, '01111': 4, '11011': 5, '10011': 1, '11101': 3, '11110': 3, '00101': 4, '10000': 1, '01011': 6, '10110': 4, '11100': 2, '01100': 3}",-0.18328186116915,21.0,,-1.18328186116915,0.0,SPSA,2.0,1.0,[1 0 1 1 1],2.0,7.102487564086914,0.0
46,[-21658.3660891   30114.89858513 -37195.01919194  14188.10311995],qasm_simulator,"{'00111': 1, '01000': 4, '00001': 2, '11010': 6, '10001': 2, '00011': 4, '01001': 2, '01101': 5, '10100': 2, '11000': 1, '00100': 6, '00010': 8, '11001': 2, '00110': 3, '10010': 6, '10101': 5, '10111': 1, '01110': 2, '01010': 5, '01111': 2, '11110': 1, '11011': 2, '10011': 5, '11101': 6, '00101': 3, '10000': 1, '01011': 6, '10110': 2, '11100': 4, '01100': 1}",-0.2973503109746,21.0,,-1.2973503109746,0.0,SPSA,2.0,2.0,[1 0 1 1 1],2.0,10.28718900680542,0.0
47,"[-14090.57862896 -43183.23004884  13747.79898211   -718.72265329
  36655.71563537 -29677.64322976]",qasm_simulator,"{'00111': 3, '10001': 1, '01001': 2, '01101': 5, '10100': 4, '11000': 3, '00110': 2, '10101': 4, '10011': 2, '00101': 8, '10110': 3, '11110': 2, '01000': 3, '00001': 1, '11010': 1, '11111': 4, '00011': 3, '00100': 2, '00010': 5, '11001': 2, '10010': 2, '10111': 3, '00000': 1, '01010': 11, '01110': 1, '01111': 3, '11011': 1, '11101': 5, '10000': 3, '01011': 3, '11100': 5, '01100': 2}",-0.13259115431951,21.0,,-1.13259115431951,0.0,SPSA,2.0,3.0,[1 0 1 0 1],2.0,13.576498985290527,0.0
48,[31485.55711746 -4069.4867091 ],qasm_simulator,"{'00111': 4, '01000': 4, '00001': 5, '11010': 2, '11111': 3, '10001': 2, '00011': 1, '01001': 1, '01101': 5, '10100': 5, '11000': 4, '00100': 2, '00010': 3, '11001': 2, '00110': 6, '10010': 3, '10101': 2, '10111': 7, '00000': 2, '01010': 5, '01110': 3, '01111': 4, '11011': 1, '10011': 3, '11110': 2, '00101': 5, '10000': 4, '01011': 2, '10110': 1, '11100': 3, '01100': 4}",0.19860011163191,22.0,,-0.80139988836809,0.0,SPSA,2.0,1.0,[0 0 0 1 0],1.0,7.044427394866943,0.0
49,[-15386.80002635  14806.9779355    2278.0132625  -29589.04237968],qasm_simulator,"{'00111': 8, '01000': 2, '00001': 2, '11010': 3, '11111': 1, '10001': 5, '00011': 1, '01001': 1, '01101': 3, '11000': 9, '00100': 2, '00010': 10, '11001': 3, '00110': 1, '10010': 4, '10101': 5, '10111': 4, '00000': 3, '01010': 2, '01110': 4, '01111': 7, '11011': 1, '10011': 1, '11101': 3, '11110': 2, '00101': 7, '10000': 2, '10110': 2, '11100': 1, '01100': 1}",0.30757384393994,22.0,,-0.69242615606006,0.0,SPSA,2.0,2.0,[1 0 1 1 1],0.0,10.304401159286499,0.0
50,"[ 25491.24558739  33470.22306732   3049.98003069  16740.25161685
 -31433.32903046 -52300.31139795]",qasm_simulator,"{'10001': 8, '01001': 10, '01101': 3, '10100': 10, '00100': 1, '10010': 1, '10101': 1, '01110': 14, '01111': 1, '11110': 2, '11011': 1, '10011': 11, '10000': 2, '01011': 18, '10110': 7, '01100': 10}",-0.90386901260467,22.0,,-1.90386901260467,0.0,SPSA,2.0,3.0,[0 0 1 0 1],2.0,13.331204891204834,0.0
51,[ 7431.94747384 -4342.88251741],qasm_simulator,"{'00111': 10, '01000': 7, '00001': 1, '11111': 7, '10001': 2, '00011': 4, '01001': 1, '10100': 1, '11000': 14, '00100': 2, '00010': 2, '00110': 1, '10010': 1, '10101': 1, '10111': 8, '00000': 9, '01010': 3, '01110': 1, '01111': 4, '11011': 2, '10011': 1, '11101': 1, '11110': 1, '00101': 1, '10000': 11, '11100': 1, '01100': 3}",0.77451145022574,23.0,,-0.72548854977426,0.0,SPSA,2.0,1.0,[1 1 1 0 0],0.0,7.515214204788208,0.0
52,[ -8676.31663222  29872.98918315   6649.8658067  -27662.97100569],qasm_simulator,"{'00111': 4, '01000': 10, '11010': 4, '11111': 5, '10001': 1, '00011': 2, '10100': 5, '11000': 7, '00100': 2, '00010': 2, '11001': 2, '00110': 1, '10010': 2, '10101': 2, '10111': 5, '00000': 7, '01010': 2, '01110': 2, '01111': 10, '11110': 3, '10011': 1, '11101': 2, '10000': 11, '01011': 2, '10110': 2, '11100': 3, '01100': 1}",0.82407249177185,23.0,,-0.67592750822815,0.0,SPSA,2.0,2.0,[1 1 1 1 0],0.0,10.834534883499146,0.0
53,"[ 14962.27938241  21038.0693151    2973.23290535  -4328.45567632
 -24592.17962326 -12017.14712519]",qasm_simulator,"{'00000': 9, '00111': 19, '01000': 13, '01111': 14, '11111': 13, '10000': 12, '11000': 12, '10111': 8}",1.49048186283747,23.0,,-0.009518137162529916,0.0,SPSA,2.0,3.0,[0 0 0 1 1],0.0,13.952114820480347,0.0
54,[ 10845.45835    -15170.83162562],qasm_simulator,"{'00111': 5, '01000': 6, '00001': 4, '11010': 1, '11111': 1, '10001': 2, '00011': 2, '01001': 4, '01101': 4, '11000': 4, '00100': 4, '00010': 2, '11001': 2, '00110': 3, '10010': 4, '10101': 1, '10111': 5, '00000': 3, '01010': 3, '01110': 6, '11110': 2, '11011': 4, '10011': 4, '00101': 3, '10000': 4, '01011': 4, '10110': 5, '11100': 4, '01100': 4}",-0.07596666493706,24.0,,-1.57596666493706,0.0,SPSA,3.0,1.0,[1 0 0 0 1],1.0,7.510225296020508,0.0
55,[ 8966.64580126 15527.26103408 -8019.06564693 23716.35552369],qasm_simulator,"{'00111': 2, '01000': 1, '00001': 3, '11010': 4, '11111': 11, '10001': 3, '00011': 2, '01101': 3, '10100': 1, '11000': 3, '00100': 5, '00010': 4, '11001': 4, '00110': 2, '10010': 1, '10101': 1, '10111': 1, '00000': 7, '01010': 3, '01110': 7, '01111': 7, '11011': 2, '11110': 5, '11101': 3, '00101': 5, '10000': 5, '11100': 4, '01100': 1}",0.46264411085093,24.0,,-1.03735588914907,0.0,SPSA,3.0,2.0,[0 0 0 0 0],0.0,10.826870679855347,0.0
56,"[ 7966.04640827 17014.99858384 -4014.31948096   675.08330156
 -9173.21806285 -5545.85906218]",qasm_simulator,"{'00111': 4, '01000': 5, '00001': 3, '11010': 3, '11111': 1, '10001': 2, '00011': 1, '01001': 5, '01101': 9, '10100': 2, '11000': 3, '00100': 2, '00010': 3, '11001': 3, '00110': 1, '10010': 2, '10101': 6, '10111': 5, '01111': 3, '01010': 6, '11110': 2, '11011': 4, '10011': 6, '11101': 3, '00101': 4, '10000': 2, '01011': 2, '10110': 5, '11100': 2, '01100': 1}",-0.25015226673045,24.0,,-1.75015226673045,0.0,SPSA,3.0,3.0,[0 1 0 0 1],2.0,14.048712968826294,0.0
57,[ 4534.84993832 -9226.85857625],qasm_simulator,"{'00111': 2, '00001': 3, '11010': 4, '11111': 4, '10001': 1, '00011': 2, '01001': 4, '01101': 4, '10100': 2, '11000': 6, '00100': 5, '00010': 2, '11001': 3, '00110': 3, '10010': 4, '10101': 4, '10111': 3, '00000': 2, '01010': 2, '01110': 3, '01111': 3, '11011': 5, '10011': 6, '11101': 2, '11110': 2, '00101': 3, '10000': 5, '01011': 1, '10110': 2, '11100': 2, '01100': 6}",0.00163858449471,25.0,,-1.49836141550529,0.0,SPSA,3.0,1.0,[1 1 0 0 1],1.0,7.430033206939697,0.0
58,[  9939.60592083 -16673.11592218  32627.24936533  17027.66649634],qasm_simulator,"{'01000': 5, '00001': 1, '11111': 12, '10001': 6, '00011': 3, '01101': 4, '10100': 2, '11000': 2, '00100': 2, '00010': 10, '11001': 1, '00110': 4, '10010': 5, '10101': 4, '10111': 1, '00000': 4, '01010': 3, '01110': 3, '01111': 1, '11011': 3, '10011': 5, '11101': 7, '11110': 3, '10000': 2, '11100': 2, '01100': 5}",0.42159024923072,25.0,,-1.07840975076928,0.0,SPSA,3.0,2.0,[0 0 0 0 0],0.0,11.04653787612915,0.0
59,"[  46177.27889891   75401.52692877 -125970.10263807   -5681.17488933
  -68033.9561259   -37302.9069017 ]",qasm_simulator,"{'01000': 5, '00001': 1, '11010': 1, '11111': 1, '10001': 6, '01001': 4, '01101': 3, '10100': 3, '00010': 4, '11001': 1, '10010': 8, '10101': 5, '10111': 6, '00000': 1, '01010': 6, '01110': 8, '01111': 9, '11110': 1, '10011': 7, '11101': 3, '10000': 5, '01011': 1, '10110': 3, '01100': 8}",-0.1807132875515,25.0,,-1.6807132875515,0.0,SPSA,3.0,3.0,[0 0 0 0 1],2.0,16.46633744239807,0.0
60,[-188956.73498842 -235043.22959925],qasm_simulator,"{'00111': 12, '01000': 7, '00001': 2, '11010': 11, '11111': 9, '01101': 2, '11000': 11, '00100': 2, '00010': 2, '11001': 1, '00110': 1, '10010': 1, '10101': 3, '10111': 5, '00000': 8, '01010': 2, '01111': 3, '11101': 4, '00101': 6, '10000': 3, '11100': 3, '11110': 2}",0.4016947926618,26.0,,-1.0983052073382,0.0,SPSA,3.0,1.0,[0 0 0 1 1],0.0,8.933643579483032,0.0
61,[-260237.96601001   67097.23244009  -10076.8322179   222667.80179245],qasm_simulator,"{'00111': 6, '01000': 5, '00001': 4, '11010': 3, '11111': 2, '10001': 6, '00011': 5, '01001': 4, '10100': 3, '11000': 1, '00100': 2, '00010': 2, '11001': 2, '00110': 4, '10010': 2, '10101': 5, '10111': 2, '00000': 2, '01010': 3, '01111': 2, '11110': 3, '11011': 5, '10011': 6, '11101': 4, '00101': 1, '10000': 2, '01011': 2, '10110': 4, '11100': 5, '01100': 3}",-0.07797980822599,26.0,,-1.57797980822599,0.0,SPSA,3.0,2.0,[0 0 1 1 0],2.0,13.348093032836914,0.0
62,"[-131296.71015355  -81377.35682347 -100229.01382129  -26923.43363167
  105739.39285645  239057.94417286]",qasm_simulator,"{'00111': 1, '01000': 6, '11010': 4, '11111': 1, '10001': 4, '00011': 3, '01001': 6, '01101': 7, '10100': 1, '11000': 1, '00100': 2, '00010': 3, '11001': 2, '00110': 2, '10010': 6, '10101': 4, '10111': 2, '00000': 3, '01010': 7, '01110': 5, '01111': 2, '11011': 4, '10011': 3, '11101': 4, '11110': 1, '00101': 3, '10000': 1, '01011': 3, '10110': 4, '11100': 2, '01100': 3}",-0.32318428451681,26.0,,-1.82318428451681,0.0,SPSA,3.0,3.0,[1 0 1 0 1],3.0,15.388631582260132,0.0
63,[-88564.79272009 358084.99086622],qasm_simulator,"{'00111': 4, '10001': 1, '01001': 3, '01101': 7, '10100': 3, '11000': 3, '00110': 4, '10101': 3, '10011': 1, '00101': 7, '10110': 3, '11110': 4, '01000': 5, '00001': 1, '11010': 3, '11111': 4, '00011': 5, '00100': 1, '00010': 4, '11001': 2, '10010': 3, '10111': 4, '00000': 1, '01010': 4, '01110': 1, '01111': 2, '11011': 2, '11101': 3, '10000': 2, '01011': 3, '11100': 4, '01100': 3}",-0.0148785975789,27.0,,-2.0148785975789,0.0,SPSA,3.0,1.0,[0 1 0 1 1],2.0,8.64300799369812,0.0
64,[ 197749.98637272 -122405.85994994   48861.54798818 -300926.70202636],qasm_simulator,"{'00111': 2, '01000': 2, '00001': 1, '11010': 3, '11111': 6, '10001': 3, '00011': 2, '01001': 6, '01101': 6, '10100': 4, '11000': 2, '00100': 5, '00010': 2, '11001': 2, '00110': 3, '10010': 5, '10101': 3, '10111': 2, '00000': 2, '01010': 5, '01110': 2, '01111': 2, '11011': 5, '10011': 1, '11101': 4, '11110': 1, '00101': 1, '10000': 2, '01011': 10, '11100': 1, '01100': 5}",-0.0317266684203,27.0,,-2.0317266684203,0.0,SPSA,3.0,2.0,[0 0 1 0 1],3.0,12.810782194137573,0.0
65,"[ -80051.88588149 -178196.45454984  -79116.07991031 -137000.82993649
  326399.90733891  150253.05863286]",qasm_simulator,"{'00111': 4, '01000': 6, '00001': 5, '11010': 1, '11111': 6, '10001': 8, '01001': 6, '10100': 1, '11000': 2, '00110': 4, '10010': 1, '10101': 1, '10111': 5, '00000': 3, '01010': 1, '01110': 14, '01111': 11, '11110': 5, '10000': 9, '10110': 6, '01100': 1}",0.57559484861203,27.0,,-1.4244051513879699,0.0,SPSA,3.0,3.0,[1 0 0 0 1],1.0,16.669066190719604,0.0
66,[  8778.26538742 533719.25614208],qasm_simulator,"{'00111': 1, '01000': 5, '11010': 1, '11111': 6, '00011': 5, '01001': 4, '01101': 2, '10100': 2, '11000': 5, '00100': 2, '00010': 3, '11001': 7, '00110': 1, '10010': 5, '10101': 1, '10111': 4, '00000': 7, '01010': 1, '01110': 5, '01111': 5, '11011': 3, '10011': 1, '11101': 2, '11110': 1, '10000': 9, '01011': 3, '10110': 4, '11100': 1, '01100': 4}",0.40505379598374,28.0,,-1.59494620401626,0.0,SPSA,4.0,1.0,[1 1 1 1 0],0.0,9.102930068969727,0.0
67,[ 79507.11242961 -53126.63170222  19892.421533    96932.28490914],qasm_simulator,"{'00111': 1, '01000': 4, '11010': 2, '11111': 7, '10001': 3, '00011': 4, '01001': 2, '01101': 8, '10100': 3, '11000': 3, '00010': 5, '00110': 1, '10010': 5, '10101': 4, '10111': 2, '00000': 5, '01010': 4, '01110': 4, '01111': 3, '11011': 6, '11110': 4, '11101': 2, '00101': 2, '10000': 5, '01011': 1, '10110': 3, '11100': 5, '01100': 2}",0.08325113025462,28.0,,-1.91674886974538,0.0,SPSA,4.0,2.0,[0 1 0 0 1],2.0,12.14635944366455,0.0
68,"[   473.38739008  11506.31889775 104935.26071293 -32514.97093114
  97995.529387    -5016.08948778]",qasm_simulator,"{'00111': 2, '00001': 1, '11010': 1, '11111': 15, '10001': 1, '00011': 3, '01001': 1, '10100': 1, '00100': 1, '00010': 1, '11001': 8, '00110': 3, '10101': 1, '10111': 1, '00000': 12, '01010': 3, '01111': 16, '10011': 4, '10000': 14, '01011': 1, '10110': 2, '11100': 5, '01100': 3}",0.93433904176885,28.0,,-1.06566095823115,0.0,SPSA,4.0,3.0,[0 0 0 0 1],0.0,15.865000486373901,0.0
69,[-1995.56865505  3912.21220449],qasm_simulator,"{'01000': 2, '00001': 4, '11111': 23, '11000': 1, '00100': 5, '00010': 5, '11001': 1, '00110': 1, '10010': 1, '10111': 5, '00000': 24, '01010': 1, '01111': 4, '11011': 9, '11101': 5, '10000': 5, '01011': 1, '11100': 2, '01100': 1}",0.93803749147704,29.0,,-1.06196250852296,0.0,SPSA,4.0,1.0,[1 1 1 1 1],0.0,8.49431300163269,0.0
70,[ 90941.97623241 -14143.06248998  57551.84551403 -18790.353795  ],qasm_simulator,"{'00111': 4, '01000': 1, '00001': 1, '11010': 1, '11111': 5, '10001': 5, '00011': 5, '01001': 4, '01101': 6, '10100': 6, '11000': 2, '00010': 1, '11001': 3, '00110': 5, '10010': 6, '01110': 4, '01010': 2, '01111': 6, '11110': 2, '11011': 2, '10011': 1, '00101': 3, '10000': 16, '01011': 3, '10110': 3, '11100': 2, '01100': 1}",-0.64955757776969,29.0,,-2.64955757776969,0.0,SPSA,4.0,2.0,[1 1 1 1 0],4.0,12.837427616119385,0.0
71,"[-96793.96721989  60417.30983817 -24612.06591717 182226.77078717
 -50134.18367949  34141.82915001]",qasm_simulator,"{'00111': 8, '01000': 3, '00001': 3, '11010': 1, '11111': 10, '10001': 3, '01001': 1, '01101': 2, '10100': 4, '11000': 7, '00100': 2, '00010': 2, '11001': 1, '10010': 9, '10101': 2, '10111': 1, '00000': 7, '01110': 5, '01111': 10, '11011': 3, '11101': 1, '00101': 1, '10000': 12, '10110': 1, '11100': 1}",-0.32046776950254,29.0,,-2.32046776950254,0.0,SPSA,4.0,3.0,[1 1 1 1 0],4.0,16.007988452911377,0.0
72,[ -2955.06612972 -17972.72604514],qasm_simulator,"{'00111': 10, '01000': 6, '00001': 1, '11010': 3, '11111': 1, '10001': 1, '00011': 1, '01001': 4, '01101': 10, '10100': 8, '11000': 7, '00010': 1, '11001': 1, '00110': 1, '10010': 4, '10101': 2, '10111': 1, '00000': 1, '01010': 2, '01110': 3, '10011': 1, '10000': 2, '01011': 12, '10110': 12, '11100': 3, '01100': 2}",-0.63416060159045,30.0,,-2.63416060159045,0.0,SPSA,4.0,1.0,[1 0 0 1 0],4.0,8.647946119308472,0.0
73,[-13577.45513289  -7816.27929292  35088.81231383  -5604.29292097],qasm_simulator,"{'00111': 5, '01000': 6, '00001': 3, '11010': 3, '10001': 2, '00011': 10, '01001': 4, '01101': 2, '10100': 5, '11000': 7, '00100': 1, '00010': 2, '11001': 5, '00110': 4, '10010': 2, '10101': 1, '10111': 1, '01110': 2, '01010': 1, '11110': 2, '11011': 4, '10011': 6, '11101': 4, '00101': 5, '01011': 2, '10110': 5, '11100': 3, '01100': 3}",-0.23818016468092,30.0,,-2.23818016468092,0.0,SPSA,4.0,2.0,[0 0 1 1 1],2.0,12.447540283203125,0.0
74,"[  8782.45941363  10726.02430618  29310.15696967 -39055.38588277
 -10706.41683544  70308.65073931]",qasm_simulator,"{'00111': 7, '01000': 6, '11010': 2, '11111': 1, '10001': 1, '01001': 12, '01101': 11, '10100': 6, '11000': 12, '11001': 2, '00110': 1, '10010': 4, '10101': 3, '10111': 7, '01111': 1, '01010': 3, '11110': 1, '10011': 2, '01011': 6, '10110': 8, '11100': 1, '01100': 3}",-0.95674401970108,30.0,,-2.95674401970108,0.0,SPSA,4.0,3.0,[1 1 1 0 0],3.0,16.08439064025879,0.0
75,[12614.38589281 -1685.71909134],qasm_simulator,"{'00111': 2, '01000': 3, '00001': 5, '11010': 14, '10001': 1, '00011': 3, '01001': 3, '01101': 3, '10100': 3, '11000': 1, '00100': 6, '00010': 2, '00110': 1, '10101': 2, '10111': 6, '00000': 1, '01010': 2, '01111': 5, '11110': 4, '11011': 5, '10011': 1, '11101': 5, '00101': 6, '10000': 3, '01011': 5, '10110': 4, '11100': 2, '01100': 2}",-0.50441181689018,31.0,,-2.50441181689018,0.0,SPSA,4.0,1.0,[1 0 1 0 0],4.0,8.464480638504028,0.0
76,[ 1821.55770975  4154.9833593  -1266.12882115 -6491.47056318],qasm_simulator,"{'01000': 1, '00001': 6, '11010': 6, '10001': 3, '00011': 3, '01001': 1, '01101': 12, '10100': 4, '11000': 3, '00010': 7, '11001': 1, '00110': 4, '10010': 9, '10101': 6, '10111': 3, '01110': 1, '01010': 4, '11011': 1, '10011': 4, '11101': 6, '00101': 4, '01011': 3, '11100': 3, '01100': 5}",-0.36702434223281,31.0,,-2.36702434223281,0.0,SPSA,4.0,2.0,[0 1 0 0 1],3.0,12.285852432250977,0.0
77,"[ -7834.08981438   8014.67070482 -23531.05394562  -5125.81938362
 -11027.73069561  14847.08399059]",qasm_simulator,"{'00111': 11, '01000': 8, '00001': 1, '11010': 8, '11111': 2, '00011': 7, '01001': 3, '01101': 1, '10100': 2, '11000': 13, '11001': 7, '00110': 4, '10010': 1, '10101': 1, '10111': 4, '01111': 5, '10011': 1, '11101': 1, '00101': 7, '10000': 4, '01011': 5, '10110': 2, '11100': 1, '01100': 1}",-0.1262830230974,31.0,,-2.1262830230974,0.0,SPSA,4.0,3.0,[1 1 1 0 0],2.0,15.904680728912354,0.0
78,[-21939.21896563  21719.13022603],qasm_simulator,"{'00111': 12, '01000': 7, '00001': 1, '11111': 11, '11000': 23, '00100': 1, '11001': 3, '00110': 2, '10111': 6, '00000': 15, '01110': 2, '01111': 6, '11011': 1, '10011': 1, '00101': 2, '10000': 5, '01011': 1, '01100': 1}",1.33641676307596,32.0,,-0.66358323692404,0.0,SPSA,3.0,1.0,[1 1 1 0 0],0.0,8.48495101928711,0.0
79,[-12239.56278053   2502.57025939  17359.14672336 -18037.80554718],qasm_simulator,"{'00111': 21, '01000': 7, '11111': 11, '10001': 1, '01101': 1, '11000': 13, '00010': 1, '11001': 1, '10111': 2, '00000': 21, '01111': 6, '10011': 1, '00101': 2, '10000': 10, '01011': 1, '11100': 1}",1.53549786740497,32.0,,-0.46450213259503004,0.0,SPSA,3.0,2.0,[1 1 1 1 1],0.0,12.285207748413086,0.0
80,"[-7123.56449083  7104.66601244    21.67959839  -558.60781471
  1059.94157918 -7006.86651472]",qasm_simulator,"{'00111': 2, '01000': 8, '00001': 2, '11111': 2, '10001': 7, '00011': 2, '01001': 3, '01101': 3, '10100': 5, '11000': 3, '00100': 1, '00010': 2, '00110': 2, '10010': 2, '10101': 6, '10111': 11, '00000': 4, '01010': 1, '01110': 1, '01111': 14, '10011': 2, '00101': 5, '10000': 10, '01011': 2}",0.41724776584265,32.0,,-1.5827522341573501,0.0,SPSA,3.0,3.0,[0 0 0 0 1],1.0,16.20965814590454,0.0
81,[1012.28016253 1204.98932339],qasm_simulator,"{'00111': 3, '01000': 4, '00001': 3, '11010': 5, '11111': 7, '10001': 3, '00011': 4, '01001': 1, '01101': 6, '10100': 2, '11000': 1, '00100': 2, '00010': 2, '00110': 2, '10010': 4, '10101': 8, '10111': 3, '00000': 4, '01010': 8, '01110': 2, '01111': 4, '11011': 1, '11110': 3, '11101': 4, '00101': 3, '10000': 6, '01011': 1, '10110': 2, '01100': 2}",-0.06100607715145,33.0,,-2.56100607715145,0.0,SPSA,4.0,1.0,[1 0 1 0 1],4.0,10.214864492416382,0.0
82,[-1119.36183888   -19.5235341   -228.91073002  -401.68598693],qasm_simulator,"{'01000': 2, '00001': 4, '11010': 7, '10001': 5, '00011': 3, '01001': 5, '01101': 1, '10100': 1, '11000': 1, '00100': 6, '00010': 2, '11001': 3, '10010': 2, '10101': 9, '10111': 1, '00000': 1, '01010': 9, '01110': 9, '01111': 1, '11011': 5, '10011': 5, '11101': 3, '11110': 4, '00101': 5, '01011': 3, '01100': 3}",-0.62845907142918,33.0,,-3.1284590714291802,0.0,SPSA,4.0,2.0,[1 0 0 0 1],3.0,13.704978942871094,0.0
83,"[  133.41757703  -571.87127462  1018.78512347  1356.16613776
   327.32244972 -1263.9327854 ]",qasm_simulator,"{'00111': 2, '11010': 23, '11111': 3, '10001': 1, '01001': 2, '00100': 2, '00010': 1, '11001': 3, '00110': 2, '10010': 1, '10101': 16, '01110': 1, '01010': 14, '10011': 1, '11101': 2, '00101': 18, '01011': 1, '10110': 3, '11110': 4}",-1.11159526830127,33.0,,-3.61159526830127,0.0,SPSA,4.0,3.0,[1 0 1 0 0],4.0,17.592855215072632,0.0
84,[ 1387.98468082 -2623.81914923],qasm_simulator,"{'00111': 1, '01000': 4, '00001': 3, '11010': 2, '11111': 7, '10001': 3, '00011': 7, '01001': 3, '10100': 2, '11000': 2, '00100': 3, '00010': 7, '11001': 2, '00110': 3, '10101': 3, '00000': 3, '01010': 4, '01110': 1, '01111': 5, '11011': 2, '10011': 2, '11101': 7, '11110': 4, '00101': 2, '10000': 4, '01011': 2, '10110': 3, '11100': 7, '01100': 2}",0.40014603472948,34.0,,-2.09985396527052,0.0,SPSA,4.0,1.0,[1 1 0 0 0],2.0,9.028934240341187,0.0
