,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"[0.22985873 0.30104562 1.59307658 0.07022271 3.87078713 1.7247818
 5.95104261 2.99761428]",qasm_simulator,"{'10111': 1, '01000': 3, '00100': 509, '01101': 547, '10101': 557, '01011': 543, '10001': 562, '10011': 515, '11011': 566, '11010': 519, '10000': 1, '00110': 551, '00101': 549, '00000': 23, '01001': 569, '01111': 1, '11001': 526, '00111': 13, '11101': 2, '11000': 17, '01100': 543, '10010': 565, '11111': 20, '11100': 15, '01010': 610, '10100': 545, '10110': 569, '01110': 533, '00011': 26}",-0.974,butterfly,1005.0,-3.974,no,NELDER_MEAD,4.0,[1 0 1 0 1],4.0,79.66664409637451
1,"[1.54793974 0.15669572 4.68018832 2.06534328 5.08381692 0.78257314
 5.64012048 5.6608519 ]",qasm_simulator,"{'10111': 2, '00100': 709, '01101': 408, '10101': 416, '01011': 612, '10001': 475, '00010': 3, '10011': 617, '11010': 630, '11011': 771, '10000': 2, '00110': 633, '00101': 614, '01001': 442, '01111': 1, '11001': 661, '11000': 4, '00111': 5, '11101': 1, '10010': 460, '01100': 619, '11111': 3, '11100': 5, '01010': 443, '10100': 587, '00001': 2, '10110': 443, '01110': 421, '00011': 11}",-0.9965999999999999,butterfly,1000.0,-3.9966,no,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,79.66547274589539
2,"[0.51963408 2.77343197 2.35000578 1.22805303 2.78727569 2.73532391
 5.10684048 2.43081863]",qasm_simulator,"{'00100': 536, '01101': 759, '10101': 701, '01011': 332, '10001': 709, '00010': 1, '10011': 362, '11011': 554, '11010': 351, '00110': 369, '00101': 339, '00000': 67, '01001': 707, '11001': 352, '11000': 40, '00111': 32, '10010': 733, '11111': 76, '01100': 371, '11100': 44, '01010': 730, '10100': 383, '10110': 682, '01110': 719, '00011': 51}",-0.9262,butterfly,1001.0,-3.9262,no,NELDER_MEAD,4.0,[0 1 0 0 1],4.0,79.23889946937561
3,"[3.13284932 1.87043538 2.18142773 1.25415652 3.03558431 3.4783399
 2.83590272 2.99335855]",qasm_simulator,"{'10111': 5, '01000': 2, '00100': 558, '01101': 551, '10101': 539, '01011': 515, '10001': 524, '00010': 3, '10011': 550, '11011': 570, '11010': 545, '10000': 3, '00110': 534, '00101': 501, '00000': 6, '01001': 591, '11110': 3, '11001': 523, '00111': 5, '11101': 3, '11000': 2, '01100': 575, '10010': 601, '11111': 7, '11100': 4, '01010': 532, '10100': 579, '00001': 5, '10110': 568, '01110': 592, '00011': 4}",-0.992,butterfly,1001.0,-3.992,no,NELDER_MEAD,4.0,[1 0 1 1 0],4.0,80.28582620620728
4,"[1.78721577 4.02274075 1.54007332 0.09294534 3.13262882 0.72852823
 5.43260306 3.59914941]",qasm_simulator,"{'01000': 3, '00100': 418, '01101': 568, '10011': 563, '11011': 431, '10000': 8, '00110': 549, '00101': 575, '01111': 5, '11000': 15, '11101': 7, '00111': 15, '01100': 606, '11111': 31, '00001': 2, '10110': 555, '10111': 2, '10101': 549, '01011': 577, '10001': 574, '00010': 2, '11010': 557, '00000': 29, '01001': 588, '11110': 5, '11001': 560, '10010': 558, '11100': 21, '01010': 522, '10100': 548, '01110': 538, '00011': 19}",-0.9591999999999998,butterfly,1002.0,-3.9592,no,NELDER_MEAD,4.0,[1 1 0 0 1],4.0,80.5968747138977
5,"[0.93453431 0.01933011 2.06623141 3.08266716 5.1467086  3.44633
 6.03254013 6.29494386]",qasm_simulator,"{'00100': 617, '01101': 528, '10101': 550, '01011': 531, '10001': 582, '00010': 3, '10011': 491, '11010': 496, '11011': 635, '10000': 1, '00110': 495, '00101': 553, '00000': 31, '01001': 580, '11110': 1, '01111': 2, '11001': 499, '11000': 18, '00111': 16, '11101': 1, '10010': 538, '01100': 531, '11111': 33, '11100': 13, '01010': 583, '10100': 491, '00001': 2, '10110': 580, '01110': 589, '00011': 10}",-0.974,butterfly,1004.0,-3.974,no,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,80.2195520401001
6,"[0.57741591 0.0151519  0.10514069 1.62353449 3.85439734 6.0488469
 1.91316866 2.80434427]",qasm_simulator,"{'01000': 2, '00100': 590, '01101': 535, '10101': 559, '01011': 528, '10001': 533, '00010': 1, '10011': 518, '11011': 634, '11010': 542, '10000': 3, '00110': 528, '00101': 533, '00000': 4, '01001': 558, '11110': 2, '01111': 3, '11001': 522, '00111': 7, '11101': 3, '11000': 5, '10010': 571, '01100': 528, '11111': 5, '00001': 1, '01010': 572, '10100': 534, '11100': 5, '10110': 570, '01110': 596, '00011': 8}",-0.9932000000000001,butterfly,1006.0,-3.9932,no,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,82.02498817443848
7,"[2.50911181 1.21755545 0.58199907 0.26533521 2.88136292 2.25211926
 4.29124682 3.34039837]",qasm_simulator,"{'01000': 18, '00100': 199, '01101': 683, '10011': 433, '11011': 173, '10000': 17, '00110': 449, '00101': 449, '01111': 24, '00111': 79, '11000': 75, '11101': 23, '01100': 464, '00001': 23, '11111': 121, '10110': 625, '10111': 13, '10101': 661, '01011': 447, '10001': 636, '00010': 17, '11010': 447, '00000': 123, '01001': 637, '11110': 26, '11001': 501, '10010': 682, '11100': 56, '01010': 666, '10100': 486, '01110': 659, '00011': 88}",-0.837,butterfly,1003.0,-3.8369999999999997,no,NELDER_MEAD,4.0,[0 1 0 0 1],4.0,82.99148774147034
8,"[0.33760082 2.54723639 1.72164565 2.3383214  3.86663493 0.90313131
 4.80906307 1.613684  ]",qasm_simulator,"{'01000': 2, '00100': 527, '01101': 837, '10011': 143, '11011': 472, '10000': 3, '00110': 136, '00101': 147, '01111': 2, '11000': 296, '00111': 297, '11101': 6, '01100': 139, '11111': 12, '00001': 5, '10110': 866, '10111': 5, '10101': 800, '01011': 128, '10001': 835, '00010': 2, '11010': 137, '00000': 9, '01001': 785, '11110': 2, '11001': 162, '10010': 810, '11100': 314, '01010': 830, '10100': 158, '01110': 838, '00011': 295}",-0.7766,butterfly,1005.0,-3.7766,no,NELDER_MEAD,4.0,[1 0 0 1 0],4.0,90.85449767112732
9,"[1.78784788 3.52574623 3.13141031 1.81935928 1.19394883 4.58785363
 0.63013826 3.10384185]",qasm_simulator,"{'01000': 76, '00100': 881, '01101': 528, '10011': 247, '11011': 820, '10000': 75, '00110': 251, '00101': 282, '01111': 68, '11000': 367, '00111': 334, '11101': 56, '01100': 258, '00001': 63, '11111': 61, '10110': 520, '10111': 69, '10101': 553, '01011': 237, '10001': 513, '00010': 78, '11010': 263, '00000': 52, '01001': 539, '11110': 86, '11001': 240, '10010': 557, '11100': 301, '01010': 506, '10100': 251, '01110': 545, '00011': 323}",-0.618,butterfly,1001.0,-3.618,no,NELDER_MEAD,4.0,[1 1 0 1 1],4.0,105.61169767379761
