,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,[1.1425451  2.51991683],qasm_simulator,"{'1110': 433, '0110': 785, '0100': 480, '0101': 1340, '1010': 1405, '1100': 800, '0111': 72, '1001': 803, '1111': 53, '1000': 83, '0010': 70, '1101': 85, '0001': 455, '1011': 478, '0000': 62, '0011': 788}",-0.73710892756047,diamond,78.0,-3.23710892756047,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,1.8178832530975342,0.0
1,[-1.14254733  0.62168353],qasm_simulator,"{'1110': 463, '0110': 746, '0100': 435, '0101': 1359, '1010': 1342, '1100': 789, '0111': 91, '1001': 770, '1111': 74, '1000': 85, '0010': 104, '1101': 100, '0001': 440, '1011': 513, '0000': 62, '0011': 819}",-0.73710892848261,diamond,92.0,-3.23710892848261,0.0,NELDER_MEAD,1.0,[0 1 0 1],4.0,2.055259943008423,0.0
2,[4.10667907 1.36068947],qasm_simulator,"{'1110': 344, '0110': 231, '0100': 348, '0101': 1771, '1010': 1812, '1100': 244, '0111': 475, '1001': 247, '1111': 202, '1000': 448, '0010': 451, '1101': 434, '0001': 361, '1011': 371, '0000': 183, '0011': 270}",-0.58590931303373,diamond,71.0,-3.08590931303373,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,1.5934584140777588,0.0
3,[4.10665071 1.3607179 ],qasm_simulator,"{'1110': 354, '0110': 254, '0100': 358, '0101': 1840, '1010': 1778, '1100': 242, '0111': 444, '1001': 256, '1111': 199, '1000': 457, '0010': 435, '1101': 443, '0001': 342, '1011': 332, '0000': 199, '0011': 259}",-0.5859093123744,diamond,86.0,-3.0859093123744,0.0,NELDER_MEAD,1.0,[0 1 0 1],4.0,1.924644947052002,0.0
4,[1.14256121 5.66150073],qasm_simulator,"{'1110': 474, '0110': 811, '0100': 465, '0101': 1322, '1010': 1361, '1100': 816, '0111': 83, '1001': 791, '1111': 60, '1000': 91, '0010': 99, '1101': 93, '0001': 443, '1011': 469, '0000': 58, '0011': 756}",-0.73710892874968,diamond,52.0,-3.23710892874968,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,1.184502124786377,0.0
5,[1.14253729 2.51991228],qasm_simulator,"{'1110': 456, '0110': 782, '0100': 461, '0101': 1330, '1010': 1362, '1100': 773, '0111': 90, '1001': 786, '1111': 61, '1000': 89, '0010': 95, '1101': 91, '0001': 441, '1011': 505, '0000': 78, '0011': 792}",-0.7371089278847,diamond,104.0,-3.2371089278847,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,2.3253402709960938,0.0
6,[1.14253727 2.51987378],qasm_simulator,"{'1110': 433, '0110': 763, '0100': 508, '0101': 1347, '1010': 1329, '1100': 754, '0111': 104, '1001': 810, '1111': 74, '1000': 101, '0010': 92, '1101': 95, '0001': 458, '1011': 475, '0000': 69, '0011': 780}",-0.73710892909059,diamond,95.0,-3.23710892909059,0.0,NELDER_MEAD,1.0,[0 1 0 1],4.0,2.1811721324920654,0.0
7,[4.10671933 4.50230703],qasm_simulator,"{'1110': 356, '0110': 241, '0100': 335, '0101': 1816, '1010': 1822, '1100': 271, '0111': 454, '1001': 251, '1111': 187, '1000': 452, '0010': 445, '1101': 422, '0001': 331, '1011': 371, '0000': 192, '0011': 246}",-0.58590931248993,diamond,65.0,-3.08590931248993,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,1.5841026306152344,0.0
8,[1.14253133 5.66147879],qasm_simulator,"{'1110': 497, '0110': 729, '0100': 464, '0101': 1291, '1010': 1387, '1100': 735, '0111': 91, '1001': 828, '1111': 53, '1000': 78, '0010': 87, '1101': 102, '0001': 486, '1011': 462, '0000': 60, '0011': 842}",-0.73710892928071,diamond,80.0,-3.2371089292807103,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,2.0945723056793213,0.0
9,[1.14256832 2.51990371],qasm_simulator,"{'1110': 440, '0110': 806, '0100': 477, '0101': 1301, '1010': 1413, '1100': 801, '0111': 90, '1001': 785, '1111': 49, '1000': 101, '0010': 95, '1101': 89, '0001': 451, '1011': 443, '0000': 62, '0011': 789}",-0.73710892906039,diamond,69.0,-3.23710892906039,0.0,NELDER_MEAD,1.0,[1 0 1 0],4.0,1.6691312789916992,0.0
