,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time
0,"[0.63091712 1.56103556 0.64299955 0.65677324 0.03464651 5.28798656
 2.46738513 3.59533391 0.53082075 2.23658186]",Aer_qasm_simulator,"{'00100': 595, '01101': 464, '10101': 469, '01011': 444, '10001': 450, '10011': 371, '11010': 418, '11011': 566, '00110': 388, '00000': 2, '00101': 388, '01001': 423, '11001': 456, '11101': 1, '10010': 435, '01100': 379, '01010': 468, '10100': 370, '10110': 480, '01110': 433}",-0.9991183360401,butterfly,1001.0,-3.9991183360401,?,NELDER_MEAD,5.0,[1 1 0 1 1],4.0,37.27134919166565
1,"[ 0.27481078  3.62811865  1.74707407  2.43333763  1.82122663 -0.23026005
  2.85081017  5.00586101  5.98151739  0.63616548]",Aer_qasm_simulator,"{'00100': 106, '01101': 371, '10101': 390, '01011': 549, '10001': 421, '10011': 568, '11010': 549, '11011': 96, '00110': 572, '00000': 2, '00101': 608, '01001': 446, '11001': 554, '10010': 397, '01100': 561, '01010': 402, '10100': 552, '10110': 435, '01110': 420, '00011': 1}",-0.99674892379029,butterfly,1000.0,-3.99674892379029,?,NELDER_MEAD,5.0,[0 1 0 1 1],4.0,37.520747900009155
2,"[2.72181949 2.2084051  2.29040991 1.95612346 3.14645272 2.46965633
 2.47856097 6.92264303 2.71317286 4.98250478]",Aer_qasm_simulator,"{'00100': 236, '01101': 521, '10101': 510, '01011': 440, '10001': 516, '10011': 420, '11010': 421, '11011': 210, '00110': 418, '00101': 424, '01001': 502, '11001': 445, '10010': 528, '01100': 423, '01010': 526, '10100': 400, '10110': 551, '01110': 509}",-0.99999999959933,butterfly,565.0,-3.99999999959933,?,NELDER_MEAD,5.0,[1 0 0 1 0],4.0,21.692091703414917
3,"[0.48339237 1.59896612 3.50900514 1.4791055  1.58597296 5.45698443
 4.29674838 0.82939298 5.83983777 1.79401103]",Aer_qasm_simulator,"{'00100': 371, '01101': 394, '10101': 382, '01011': 562, '10001': 336, '10011': 536, '11010': 530, '11011': 406, '00110': 511, '00101': 543, '01001': 396, '11001': 523, '10010': 346, '01100': 503, '01010': 361, '10100': 550, '10110': 371, '01110': 379}",-0.9999999994002,butterfly,542.0,-3.9999999994002,?,NELDER_MEAD,5.0,[0 0 1 0 1],4.0,23.349478006362915
4,"[2.86464381 1.03067754 2.28532745 2.34649047 2.3192323  1.99863407
 0.24317573 0.75722169 5.26652741 1.62227668]",Aer_qasm_simulator,"{'00100': 698, '01101': 218, '10101': 235, '01011': 594, '10001': 226, '10011': 563, '11010': 567, '11011': 736, '00110': 589, '00101': 604, '01001': 244, '11001': 609, '10010': 259, '01100': 619, '01010': 199, '10100': 575, '10110': 213, '01110': 252}",-0.99999999968306,butterfly,567.0,-3.9999999996830597,?,NELDER_MEAD,5.0,[0 0 1 0 0],4.0,22.661698579788208
5,"[3.60281785 0.78220589 0.82145695 2.85956223 3.2882602  6.39831742
 5.67834888 2.60582793 6.1264897  1.64812612]",Aer_qasm_simulator,"{'10111': 1, '00100': 334, '01101': 405, '10101': 437, '01011': 513, '10001': 395, '10011': 494, '11010': 495, '11011': 328, '10000': 1, '00110': 512, '00101': 531, '01001': 392, '11001': 509, '11000': 1, '10010': 417, '01100': 535, '11100': 1, '01010': 395, '10100': 508, '10110': 399, '01110': 393, '00011': 4}",-0.99819034665161,butterfly,1000.0,-3.9981903466516098,?,NELDER_MEAD,5.0,[1 1 0 0 1],4.0,40.14977431297302
6,"[2.93974021e+00 2.43703509e+00 1.02067368e+00 1.62990769e+00
 2.17708370e-01 1.78801196e+00 2.14448951e+00 2.28240161e+00
 2.61956248e+00 2.94476454e-04]",Aer_qasm_simulator,"{'10111': 2, '01000': 2, '00100': 360, '01101': 495, '10101': 518, '01011': 417, '10001': 500, '00010': 3, '10011': 420, '11010': 425, '11011': 336, '10000': 3, '00110': 392, '00000': 1, '00101': 399, '01001': 500, '01111': 1, '11001': 387, '11000': 13, '11101': 1, '00111': 15, '10010': 485, '00001': 1, '11111': 1, '11100': 18, '01010': 471, '10100': 418, '01100': 416, '10110': 490, '01110': 487, '00011': 23}",-0.97957208178463,butterfly,1001.0,-3.97957208178463,?,NELDER_MEAD,5.0,[0 1 0 1 0],4.0,41.04944705963135
7,"[0.1811833  0.49675899 1.68251839 2.78512995 0.21040461 3.36393679
 5.23483018 5.97640623 2.41829775 0.79628859]",Aer_qasm_simulator,"{'00100': 451, '01101': 464, '10101': 428, '01011': 470, '10001': 476, '10011': 442, '11010': 447, '11011': 444, '00110': 426, '00101': 368, '01001': 494, '11001': 425, '10010': 456, '01100': 441, '01010': 409, '10100': 426, '10110': 451, '01110': 482}",-0.99999999996381,butterfly,731.0,-3.99999999996381,?,NELDER_MEAD,5.0,[0 1 1 0 1],4.0,30.145476579666138
8,"[0.56950509 2.41227916 1.57733719 1.58246634 1.69442089 0.57518818
 1.85167498 2.83930477 1.56369835 5.52000897]",Aer_qasm_simulator,"{'00100': 1118, '01101': 416, '10101': 415, '01011': 287, '10001': 397, '10011': 351, '11010': 326, '11011': 1134, '00110': 292, '00101': 285, '01001': 429, '11001': 291, '10010': 380, '01100': 299, '01010': 428, '10100': 313, '10110': 434, '01110': 405}",-0.9999999987315,butterfly,639.0,-3.9999999987315,?,NELDER_MEAD,5.0,[0 0 1 0 0],4.0,26.74242115020752
9,"[0.78629824 1.91871985 0.21210091 2.39668396 1.16515995 5.10009247
 2.40488994 0.55887011 3.032815   3.54185471]",Aer_qasm_simulator,"{'00100': 453, '01101': 466, '10101': 463, '01011': 431, '10001': 440, '10011': 451, '11010': 398, '11011': 420, '00110': 453, '00101': 471, '01001': 467, '11001': 436, '10010': 458, '01100': 444, '01010': 471, '10100': 418, '10110': 445, '01110': 415}",-0.99999999983325,butterfly,897.0,-3.99999999983325,?,NELDER_MEAD,5.0,[1 0 1 0 1],4.0,36.854766845703125
