,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,"[1.50917261 2.73701386 2.74385819 1.81561451 2.22961526 0.91565648
 2.60804697 1.23692658]",qasm_simulator,"{'01110': 732, '00110': 210, '00100': 423, '11010': 198, '10011': 195, '00101': 192, '01010': 694, '01100': 178, '11011': 447, '10001': 744, '10101': 704, '01001': 729, '10010': 692, '01101': 718, '11001': 180, '10110': 715, '01011': 210, '10100': 231}",-0.99999999928366,butterfly,549.0,-3.99999999928366,0.0,NELDER_MEAD,4.0,[0 1 1 1 0],4.0,17.25336194038391,0.0
1,"[0.90312338 3.80626361 3.5381032  1.80224202 1.0326435  1.12754655
 1.47603668 5.56284727]",qasm_simulator,"{'01110': 34, '00110': 740, '00100': 1078, '11010': 724, '10011': 686, '00101': 736, '01010': 37, '01100': 681, '11011': 1085, '10001': 23, '10101': 32, '01001': 33, '10010': 28, '01101': 31, '11001': 738, '10110': 26, '01011': 694, '10100': 786}",-0.99999999911821,butterfly,531.0,-3.9999999991182102,0.0,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,16.591686248779297,0.0
2,"[1.7712258  2.25065728 0.23293872 0.90875239 6.14968392 4.38227324
 1.76677842 6.97524434]",qasm_simulator,"{'01110': 560, '00110': 376, '00100': 347, '11010': 431, '10011': 407, '00101': 431, '01010': 527, '01100': 417, '11011': 320, '10001': 528, '10101': 543, '01001': 526, '10010': 532, '01101': 510, '11001': 413, '10110': 505, '01011': 422, '10100': 397}",-0.99999999999781,butterfly,991.0,-3.9999999999978098,0.0,NELDER_MEAD,4.0,[1 0 0 0 1],4.0,30.213611602783203,0.0
3,"[-0.0986624   1.30406787  3.23350397  0.44914123  0.38077339  3.02169977
  2.48496125  4.32818416]",qasm_simulator,"{'01110': 454, '00110': 470, '00100': 372, '11010': 472, '10011': 437, '00101': 490, '01010': 498, '01100': 391, '11011': 360, '10001': 475, '10101': 471, '01001': 469, '10010': 460, '01101': 500, '11001': 464, '10110': 468, '01011': 446, '10100': 495}",-0.99999983327555,butterfly,1001.0,-3.9999998332755498,0.0,NELDER_MEAD,4.0,[0 1 0 0 1],4.0,30.557639360427856,0.0
4,"[ 4.56419259e+00 -4.32995610e-02  5.95054196e-01 -3.96922122e-03
  1.31090963e+00  4.37518178e+00  6.88682323e+00  3.81642804e+00]",qasm_simulator,"{'01110': 507, '00110': 465, '00100': 259, '11110': 1, '11010': 510, '10011': 477, '00101': 471, '01010': 442, '01100': 460, '11100': 3, '00111': 3, '11011': 297, '10001': 479, '10101': 491, '01001': 483, '01111': 1, '10010': 475, '01000': 1, '00010': 1, '01101': 497, '11001': 488, '10110': 472, '01011': 450, '11111': 2, '10100': 451, '00011': 4, '11000': 2}",-0.99612539254005,butterfly,1001.0,-3.99612539254005,0.0,NELDER_MEAD,4.0,[1 0 1 0 0],4.0,32.107911825180054,0.0
5,"[2.11595145 4.24176354 0.45246049 1.48561751 6.00019315 2.45256674
 2.90463657 2.6460418 ]",qasm_simulator,"{'01110': 373, '00110': 512, '00100': 608, '11010': 516, '10011': 495, '00101': 514, '01010': 336, '01100': 551, '11011': 634, '10001': 336, '10101': 358, '01001': 387, '10010': 370, '01101': 355, '11001': 507, '10110': 379, '01011': 458, '10100': 503}",-0.99999999988149,butterfly,672.0,-3.99999999988149,0.0,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,20.86701464653015,0.0
6,"[2.08246457 4.28949081 0.16755135 1.7774507  5.98828832 2.68745762
 8.99865079 5.76223936]",qasm_simulator,"{'01110': 333, '00110': 546, '00100': 654, '11010': 537, '10011': 535, '00101': 541, '01010': 370, '01100': 502, '11011': 576, '10001': 344, '10101': 376, '01001': 358, '10010': 336, '01101': 355, '11001': 507, '10110': 310, '01011': 504, '10100': 508}",-0.99956985659967,butterfly,1001.0,-3.99956985659967,0.0,NELDER_MEAD,4.0,[1 1 0 1 1],4.0,30.863363027572632,0.0
7,"[1.56560622 3.23410625 1.62983837 3.55075357 5.7698212  0.38867645
 2.72036915 2.7441038 ]",qasm_simulator,"{'01110': 410, '00110': 413, '00100': 836, '11010': 373, '10011': 393, '00101': 375, '01010': 417, '01100': 452, '11100': 1, '11011': 879, '10001': 418, '10101': 425, '01001': 403, '10010': 434, '01101': 414, '11001': 404, '10110': 359, '01011': 382, '10100': 404}",-0.99995519999372,butterfly,1000.0,-3.99995519999372,0.0,NELDER_MEAD,4.0,[0 0 1 0 0],4.0,31.297850847244263,0.0
8,"[1.56525393 0.23984748 4.81267357 1.38018736 5.66950823 1.98086334
 3.5283518  4.22163676]",qasm_simulator,"{'01110': 326, '00110': 590, '00100': 450, '11110': 1, '11010': 607, '10011': 579, '00101': 564, '01010': 346, '01100': 589, '11011': 482, '10001': 295, '10101': 307, '01001': 351, '10010': 339, '01101': 308, '11001': 559, '10110': 342, '01011': 595, '10100': 562}",-0.9992614706831,butterfly,1000.0,-3.9992614706831002,0.0,NELDER_MEAD,4.0,[1 0 1 0 0],4.0,31.108712196350098,0.0
9,"[1.76879222 0.23732586 2.22913083 1.03238689 0.82524638 2.41124129
 2.80190308 1.00595517]",qasm_simulator,"{'01110': 529, '00110': 468, '00100': 133, '11010': 443, '10011': 435, '00101': 482, '01010': 548, '01100': 454, '11011': 122, '10001': 487, '10101': 552, '01001': 585, '10010': 564, '01101': 570, '11001': 432, '10110': 538, '01011': 411, '10100': 439}",-0.99999999998638,butterfly,640.0,-3.99999999998638,0.0,NELDER_MEAD,4.0,[0 1 1 0 1],4.0,19.69993019104004,0.0
