,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,[1.17566494 2.49973341],qasm_simulator,"{'01110': 438, '00110': 472, '00100': 327, '11110': 1, '11010': 454, '11101': 2, '10011': 455, '00101': 489, '01010': 446, '01100': 468, '11100': 44, '00111': 35, '11011': 358, '10001': 469, '10101': 443, '10000': 4, '01001': 486, '10010': 443, '01000': 1, '00010': 1, '01101': 421, '11001': 394, '00001': 1, '10110': 490, '01011': 446, '11111': 20, '10100': 474, '00000': 38, '00011': 37, '11000': 35}",-0.92876446921701,butterfly,67.0,-3.92876446921701,0.0,NELDER_MEAD,1.0,[1 0 0 1 0],4.0,1.7679524421691895,0.0
1,[5.10749414 0.64189476],qasm_simulator,"{'01110': 410, '00110': 465, '00100': 370, '11010': 474, '11101': 1, '10011': 482, '00101': 416, '01010': 453, '01100': 465, '11100': 41, '00111': 35, '11011': 361, '10001': 454, '10101': 445, '01001': 462, '01111': 2, '10010': 457, '01000': 2, '00010': 1, '01101': 434, '11001': 450, '00001': 3, '10111': 2, '10110': 447, '01011': 470, '11111': 40, '10100': 454, '00000': 30, '00011': 29, '11000': 37}",-0.92876447229018,butterfly,80.0,-3.92876447229018,0.0,NELDER_MEAD,1.0,[0 0 1 1 0],4.0,2.0446033477783203,0.0
2,[5.10751233 0.6418768 ],qasm_simulator,"{'01110': 480, '00110': 447, '00100': 341, '11110': 1, '11010': 444, '11101': 2, '10011': 459, '00101': 458, '01010': 409, '01100': 436, '11100': 39, '00111': 25, '11011': 339, '10001': 466, '10101': 463, '01001': 453, '10010': 432, '01000': 3, '00010': 2, '01101': 468, '11001': 475, '00001': 2, '10111': 1, '10110': 449, '01011': 483, '11111': 44, '10100': 448, '00000': 48, '00011': 42, '11000': 33}",-0.92876447185004,butterfly,92.0,-3.92876447185004,0.0,NELDER_MEAD,1.0,[0 0 1 0 1],4.0,2.3188846111297607,0.0
3,[1.17570273 2.49973706],qasm_simulator,"{'01110': 446, '00110': 410, '00100': 354, '11010': 479, '10011': 469, '00101': 421, '01010': 477, '01100': 432, '11100': 30, '00111': 36, '11011': 353, '10001': 458, '10101': 457, '10000': 2, '01001': 465, '01111': 2, '10010': 420, '01000': 1, '00010': 1, '01101': 459, '11001': 449, '00001': 1, '10111': 1, '10110': 459, '01011': 487, '11111': 36, '10100': 472, '00000': 36, '00011': 47, '11000': 32}",-0.92876446820061,butterfly,61.0,-3.92876446820061,0.0,NELDER_MEAD,1.0,[0 0 1 0 1],4.0,1.5700693130493164,0.0
4,[1.17569047 5.64130849],qasm_simulator,"{'01110': 494, '00110': 437, '00100': 363, '11110': 2, '11010': 422, '11101': 2, '10011': 424, '00101': 466, '01010': 449, '01100': 482, '11100': 39, '00111': 42, '11011': 328, '10001': 441, '10101': 444, '01001': 467, '01111': 2, '10010': 425, '01101': 483, '11001': 475, '00001': 1, '10111': 2, '10110': 424, '01011': 469, '11111': 28, '10100': 465, '00000': 38, '00011': 41, '11000': 37}",-0.92876447154839,butterfly,71.0,-3.92876447154839,0.0,NELDER_MEAD,1.0,[1 0 0 0 1],4.0,1.8172173500061035,0.0
5,[1.17562918 2.49968342],qasm_simulator,"{'01110': 446, '00110': 469, '00100': 346, '11110': 1, '11010': 444, '10011': 471, '00101': 380, '01010': 414, '01100': 426, '11100': 48, '00111': 26, '11011': 362, '10001': 455, '10101': 486, '01001': 466, '01111': 2, '10010': 482, '01101': 454, '11001': 461, '00001': 1, '10110': 469, '01011': 481, '11111': 37, '10100': 436, '00000': 49, '00011': 36, '11000': 44}",-0.92876447230154,butterfly,73.0,-3.9287644723015402,0.0,NELDER_MEAD,1.0,[0 1 0 1 0],4.0,1.8672609329223633,0.0
6,[1.17567247 2.49970191],qasm_simulator,"{'01110': 450, '00110': 460, '00100': 366, '11010': 423, '11101': 3, '10011': 474, '00101': 459, '01010': 409, '01100': 487, '11100': 34, '00111': 32, '11011': 368, '10001': 455, '10101': 480, '10000': 1, '01001': 427, '10010': 449, '01101': 485, '11001': 452, '00001': 2, '10110': 429, '01011': 439, '11111': 28, '10100': 461, '00000': 41, '00011': 38, '11000': 40}",-0.92876447274997,butterfly,95.0,-3.92876447274997,0.0,NELDER_MEAD,1.0,[1 1 0 0 1],4.0,2.6387345790863037,0.0
7,[ 1.17564333 -0.64185811],qasm_simulator,"{'01110': 447, '00110': 456, '00100': 328, '11110': 2, '11010': 480, '11101': 3, '10011': 432, '00101': 476, '01010': 447, '01100': 498, '11100': 49, '00111': 35, '11011': 315, '10001': 458, '10101': 453, '10000': 3, '01001': 478, '01111': 1, '10010': 462, '01000': 2, '01101': 474, '11001': 454, '00001': 1, '10111': 2, '10110': 432, '01011': 422, '11111': 31, '10100': 451, '00000': 24, '00011': 33, '11000': 43}",-0.92876446836588,butterfly,81.0,-3.92876446836588,0.0,NELDER_MEAD,1.0,[1 1 0 0 1],4.0,2.0467309951782227,0.0
8,[5.10756643 0.64190004],qasm_simulator,"{'01110': 489, '00110': 446, '00100': 352, '11110': 3, '11010': 466, '11101': 3, '10011': 441, '00101': 438, '01010': 463, '01100': 477, '11100': 36, '00111': 37, '11011': 327, '10001': 443, '10101': 465, '01001': 444, '01111': 2, '10010': 473, '01000': 1, '00010': 1, '01101': 432, '11001': 423, '00001': 1, '10110': 461, '01011': 496, '11111': 30, '10100': 453, '00000': 41, '00011': 25, '11000': 23}",-0.92876447203502,butterfly,84.0,-3.92876447203502,0.0,NELDER_MEAD,1.0,[0 0 1 0 1],4.0,2.1511707305908203,0.0
9,[1.17567225 2.49973884],qasm_simulator,"{'01110': 438, '00110': 470, '00100': 346, '11110': 2, '11010': 469, '11101': 1, '10011': 449, '00101': 450, '01010': 473, '01100': 420, '11100': 33, '00111': 35, '11011': 359, '10001': 454, '10101': 436, '10000': 3, '01001': 442, '10010': 462, '01000': 2, '00010': 1, '01101': 442, '11001': 455, '00001': 1, '10111': 2, '10110': 463, '01011': 449, '11111': 34, '10100': 505, '00000': 32, '00011': 35, '11000': 29}",-0.92876446817426,butterfly,81.0,-3.92876446817426,0.0,NELDER_MEAD,1.0,[1 1 0 1 0],4.0,2.081488847732544,0.0
