,angles,backend,distribution,energy,graph,iterations,max-cut objective,noise,optimizer,p,solution,solution objective,time,topology
0,[ 1.03355744  2.2394036  -0.78285723  5.88250203],qasm_simulator,"{'1110': 467, '0110': 624, '0100': 462, '0101': 1968, '1010': 1944, '1100': 596, '0111': 15, '1001': 561, '1111': 8, '1000': 17, '0010': 17, '1101': 27, '0001': 455, '1011': 429, '0000': 17, '0011': 585}",-0.95728054676192,diamond,575.0,-3.45728054676192,0.0,NELDER_MEAD,2.0,[0 1 0 1],4.0,14.562096118927002,0.0
1,[2.12917492 1.92259729 4.94420964 2.15230002],qasm_simulator,"{'1110': 4, '0110': 869, '0100': 3, '0101': 2352, '1010': 2415, '1100': 825, '0111': 2, '1001': 825, '1111': 33, '1000': 3, '0010': 3, '1101': 2, '0001': 3, '1011': 3, '0000': 41, '0011': 809}",-1.05611444884904,diamond,400.0,-3.5561144488490397,0.0,NELDER_MEAD,2.0,[1 0 1 0],4.0,9.747033834457397,0.0
2,[1.03350214 2.23944019 2.35870706 2.74090496],qasm_simulator,"{'1110': 456, '0110': 599, '0100': 491, '0101': 1971, '1010': 1842, '1100': 600, '0111': 14, '1001': 593, '1111': 13, '1000': 22, '0010': 17, '1101': 23, '0001': 460, '1011': 454, '0000': 16, '0011': 621}",-0.9572805461531,diamond,302.0,-3.4572805461531,0.0,NELDER_MEAD,2.0,[0 1 0 1],4.0,7.333634853363037,0.0
3,[2.21833056 5.62045301 2.55006924 1.87447441],qasm_simulator,"{'1110': 19, '0110': 163, '0100': 9, '0101': 3529, '1010': 3490, '1100': 165, '0111': 60, '1001': 167, '1111': 100, '1000': 69, '0010': 64, '1101': 59, '0001': 13, '1011': 9, '0000': 107, '0011': 169}",-1.24208597992393,diamond,365.0,-3.74208597992393,0.0,NELDER_MEAD,2.0,[0 1 0 1],4.0,9.032455205917358,0.0
4,[5.25292579 2.81472185 1.51444894 2.25994245],qasm_simulator,"{'1110': 280, '0110': 523, '0100': 263, '0101': 2159, '1010': 2092, '1100': 525, '0111': 127, '1001': 543, '1111': 96, '1000': 135, '0010': 122, '1101': 122, '0001': 283, '1011': 300, '0000': 94, '0011': 528}",-0.89160611596032,diamond,381.0,-3.39160611596032,0.0,NELDER_MEAD,2.0,[0 1 0 1],4.0,9.374199390411377,0.0
5,[1.71822551 3.51677447 7.15476499 1.51975746],qasm_simulator,"{'1110': 267, '0110': 805, '0100': 234, '0101': 1905, '1010': 1932, '1100': 772, '0111': 19, '1001': 825, '1111': 5, '1000': 23, '0010': 10, '1101': 24, '0001': 255, '1011': 265, '0000': 5, '0011': 846}",-0.94444958955121,diamond,227.0,-3.44444958955121,0.0,NELDER_MEAD,2.0,[1 0 1 0],4.0,5.484176397323608,0.0
6,[1.03356113 2.23942023 2.35874877 5.88254193],qasm_simulator,"{'1110': 445, '0110': 569, '0100': 462, '0101': 1983, '1010': 1902, '1100': 656, '0111': 18, '1001': 579, '1111': 14, '1000': 12, '0010': 11, '1101': 19, '0001': 488, '1011': 461, '0000': 10, '0011': 563}",-0.95728054453947,diamond,225.0,-3.45728054453947,0.0,NELDER_MEAD,2.0,[0 1 0 1],4.0,5.587767839431763,0.0
7,[ 4.54038962 -1.13167972  3.88828299  0.77046932],qasm_simulator,"{'1110': 365, '0110': 522, '0100': 389, '0101': 1722, '1010': 1744, '1100': 570, '0111': 154, '1001': 555, '1111': 153, '1000': 178, '0010': 157, '1101': 184, '0001': 401, '1011': 414, '0000': 131, '0011': 553}",-0.72449521653223,diamond,266.0,-3.22449521653223,0.0,NELDER_MEAD,2.0,[1 0 1 0],4.0,6.587381362915039,0.0
8,[ 4.54038189 -1.13170734  3.88828374  0.77044636],qasm_simulator,"{'1110': 365, '0110': 523, '0100': 381, '0101': 1725, '1010': 1743, '1100': 549, '0111': 160, '1001': 563, '1111': 140, '1000': 144, '0010': 191, '1101': 176, '0001': 417, '1011': 430, '0000': 153, '0011': 532}",-0.72449521703643,diamond,314.0,-3.22449521703643,0.0,NELDER_MEAD,2.0,[1 0 1 0],4.0,7.6069653034210205,0.0
9,[1.03356277 2.23947343 2.35872422 5.88249597],qasm_simulator,"{'1110': 494, '0110': 594, '0100': 454, '0101': 1942, '1010': 1917, '1100': 579, '0111': 15, '1001': 579, '1111': 14, '1000': 19, '0010': 21, '1101': 18, '0001': 463, '1011': 477, '0000': 22, '0011': 584}",-0.95728054641909,diamond,258.0,-3.45728054641909,0.0,NELDER_MEAD,2.0,[0 1 0 1],4.0,6.2115843296051025,0.0
